"FSA","Rural.urban.quota","Region.quota"
"G1L","Urban","Quebec"
"G1M","Urban","Quebec"
"G1N","Urban","Quebec"
"G1P","Urban","Quebec"
"G1R","Urban","Quebec"
"G1S","Urban","Quebec"
"G1T","Urban","Quebec"
"G1V","Urban","Quebec"
"G1W","Urban","Quebec"
"G1X","Urban","Quebec"
"G1Y","Urban","Quebec"
"G2A","Urban","Quebec"
"G2B","Urban","Quebec"
"G2C","Urban","Quebec"
"G2E","Urban","Quebec"
"G2G","Urban","Quebec"
"G2J","Urban","Quebec"
"G2K","Urban","Quebec"
"G2L","Urban","Quebec"
"G2M","Urban","Quebec"
"G2N","Urban","Quebec"
"G3A","Urban","Quebec"
"G3B","Urban","Quebec"
"G3C","Urban","Quebec"
"G3E","Urban","Quebec"
"G3G","Urban","Quebec"
"G3H","Urban","Quebec"
"G3J","Urban","Quebec"
"G3K","Urban","Quebec"
"G3L","Urban","Quebec"
"G3M","Urban","Quebec"
"G3N","Urban","Quebec"
"G3Z","Urban","Quebec"
"G4A","Urban","Quebec"
"G4R","Urban","Quebec"
"G4S","Urban","Quebec"
"G4T","Urban","Quebec"
"G4V","Urban","Quebec"
"G4W","Urban","Quebec"
"G4X","Urban","Quebec"
"G4Z","Urban","Quebec"
"G5A","Urban","Quebec"
"G5B","Urban","Quebec"
"G5C","Urban","Quebec"
"G5H","Urban","Quebec"
"G5J","Urban","Quebec"
"G5L","Urban","Quebec"
"G5M","Urban","Quebec"
"G5N","Urban","Quebec"
"G5R","Urban","Quebec"
"G5T","Urban","Quebec"
"G5V","Urban","Quebec"
"G5X","Urban","Quebec"
"G5Y","Urban","Quebec"
"G5Z","Urban","Quebec"
"G6A","Urban","Quebec"
"G6B","Urban","Quebec"
"G6C","Urban","Quebec"
"G6E","Urban","Quebec"
"G6G","Urban","Quebec"
"G6H","Urban","Quebec"
"G6J","Urban","Quebec"
"G6K","Urban","Quebec"
"G6L","Urban","Quebec"
"G6P","Urban","Quebec"
"G6R","Urban","Quebec"
"G6S","Urban","Quebec"
"G6T","Urban","Quebec"
"G6V","Urban","Quebec"
"G6W","Urban","Quebec"
"G6X","Urban","Quebec"
"G6Y","Urban","Quebec"
"G6Z","Urban","Quebec"
"G7A","Urban","Quebec"
"G7B","Urban","Quebec"
"G7G","Urban","Quebec"
"G7H","Urban","Quebec"
"G7J","Urban","Quebec"
"G7K","Urban","Quebec"
"G7N","Urban","Quebec"
"G7P","Urban","Quebec"
"G7S","Urban","Quebec"
"G7T","Urban","Quebec"
"G7X","Urban","Quebec"
"G7Y","Urban","Quebec"
"G7Z","Urban","Quebec"
"G8A","Urban","Quebec"
"G8B","Urban","Quebec"
"G8C","Urban","Quebec"
"G8E","Urban","Quebec"
"G8G","Urban","Quebec"
"G8H","Urban","Quebec"
"G8J","Urban","Quebec"
"G8K","Urban","Quebec"
"G8L","Urban","Quebec"
"G8M","Urban","Quebec"
"G8N","Urban","Quebec"
"G8P","Urban","Quebec"
"G8T","Urban","Quebec"
"G8V","Urban","Quebec"
"G8W","Urban","Quebec"
"G8Y","Urban","Quebec"
"G8Z","Urban","Quebec"
"G9A","Urban","Quebec"
"G9B","Urban","Quebec"
"G9C","Urban","Quebec"
"G9H","Urban","Quebec"
"G9N","Urban","Quebec"
"G9P","Urban","Quebec"
"G9R","Urban","Quebec"
"G9T","Urban","Quebec"
"G9X","Urban","Quebec"
"H0M","Rural","Quebec"
"H1A","Urban","Quebec"
"H1B","Urban","Quebec"
"H1C","Urban","Quebec"
"H1E","Urban","Quebec"
"H1G","Urban","Quebec"
"H1H","Urban","Quebec"
"H1J","Urban","Quebec"
"H1K","Urban","Quebec"
"H1L","Urban","Quebec"
"H1M","Urban","Quebec"
"H1N","Urban","Quebec"
"H1P","Urban","Quebec"
"H1R","Urban","Quebec"
"H1S","Urban","Quebec"
"H1T","Urban","Quebec"
"H1V","Urban","Quebec"
"H1W","Urban","Quebec"
"H1X","Urban","Quebec"
"H1Y","Urban","Quebec"
"H1Z","Urban","Quebec"
"H2A","Urban","Quebec"
"H2B","Urban","Quebec"
"H2C","Urban","Quebec"
"H2E","Urban","Quebec"
"H2G","Urban","Quebec"
"H2H","Urban","Quebec"
"H2J","Urban","Quebec"
"H2K","Urban","Quebec"
"H2L","Urban","Quebec"
"H2M","Urban","Quebec"
"H2N","Urban","Quebec"
"H2P","Urban","Quebec"
"H2R","Urban","Quebec"
"H2S","Urban","Quebec"
"H2T","Urban","Quebec"
"H2V","Urban","Quebec"
"H2W","Urban","Quebec"
"H2X","Urban","Quebec"
"H2Y","Urban","Quebec"
"H2Z","Urban","Quebec"
"H3A","Urban","Quebec"
"H3B","Urban","Quebec"
"H3C","Urban","Quebec"
"H3E","Urban","Quebec"
"H3G","Urban","Quebec"
"H3H","Urban","Quebec"
"H3J","Urban","Quebec"
"H3K","Urban","Quebec"
"H3L","Urban","Quebec"
"H3M","Urban","Quebec"
"H3N","Urban","Quebec"
"H3P","Urban","Quebec"
"H3R","Urban","Quebec"
"H3S","Urban","Quebec"
"H3T","Urban","Quebec"
"H3V","Urban","Quebec"
"H3W","Urban","Quebec"
"H3X","Urban","Quebec"
"H3Y","Urban","Quebec"
"H3Z","Urban","Quebec"
"H4A","Urban","Quebec"
"H4B","Urban","Quebec"
"H4C","Urban","Quebec"
"H4E","Urban","Quebec"
"H4G","Urban","Quebec"
"H4H","Urban","Quebec"
"H4J","Urban","Quebec"
"H4K","Urban","Quebec"
"H4L","Urban","Quebec"
"H4M","Urban","Quebec"
"H4N","Urban","Quebec"
"H4P","Urban","Quebec"
"H4R","Urban","Quebec"
"H4S","Urban","Quebec"
"H4T","Urban","Quebec"
"H4V","Urban","Quebec"
"H4W","Urban","Quebec"
"H4X","Urban","Quebec"
"H4Y","Urban","Quebec"
"H4Z","Urban","Quebec"
"H5A","Urban","Quebec"
"H5B","Urban","Quebec"
"H7A","Urban","Quebec"
"H7B","Urban","Quebec"
"H7C","Urban","Quebec"
"H7E","Urban","Quebec"
"H7G","Urban","Quebec"
"H7H","Urban","Quebec"
"H7J","Urban","Quebec"
"H7K","Urban","Quebec"
"H7L","Urban","Quebec"
"H7M","Urban","Quebec"
"H7N","Urban","Quebec"
"H7P","Urban","Quebec"
"H7R","Urban","Quebec"
"H7S","Urban","Quebec"
"H7T","Urban","Quebec"
"H7V","Urban","Quebec"
"H7W","Urban","Quebec"
"H7X","Urban","Quebec"
"H7Y","Urban","Quebec"
"H8N","Urban","Quebec"
"H8P","Urban","Quebec"
"H8R","Urban","Quebec"
"H8S","Urban","Quebec"
"H8T","Urban","Quebec"
"H8Y","Urban","Quebec"
"H8Z","Urban","Quebec"
"H9A","Urban","Quebec"
"H9B","Urban","Quebec"
"H9C","Urban","Quebec"
"H9E","Urban","Quebec"
"H9G","Urban","Quebec"
"H9H","Urban","Quebec"
"H9J","Urban","Quebec"
"H9K","Urban","Quebec"
"H9P","Urban","Quebec"
"H9R","Urban","Quebec"
"H9S","Urban","Quebec"
"H9W","Urban","Quebec"
"H9X","Urban","Quebec"
"J0A","Rural","Quebec"
"J0B","Rural","Quebec"
"J0C","Rural","Quebec"
"J0E","Rural","Quebec"
"J0G","Rural","Quebec"
"J0H","Rural","Quebec"
"J0J","Rural","Quebec"
"J0K","Rural","Quebec"
"J0L","Rural","Quebec"
"J0M","Rural","Quebec"
"J0N","Rural","Quebec"
"J0P","Rural","Quebec"
"J0R","Rural","Quebec"
"J0S","Rural","Quebec"
"J0T","Rural","Quebec"
"J0V","Rural","Quebec"
"J0W","Rural","Quebec"
"J0X","Rural","Quebec"
"J0Y","Rural","Quebec"
"J0Z","Rural","Quebec"
"J1A","Urban","Quebec"
"J1C","Urban","Quebec"
"J1E","Urban","Quebec"
"J1G","Urban","Quebec"
"J1H","Urban","Quebec"
"J1J","Urban","Quebec"
"J1K","Urban","Quebec"
"J1L","Urban","Quebec"
"J1M","Urban","Quebec"
"J1N","Urban","Quebec"
"J1R","Urban","Quebec"
"J1S","Urban","Quebec"
"J1T","Urban","Quebec"
"J1X","Urban","Quebec"
"J1Z","Urban","Quebec"
"J2A","Urban","Quebec"
"J2B","Urban","Quebec"
"J2C","Urban","Quebec"
"J2E","Urban","Quebec"
"J2G","Urban","Quebec"
"J2H","Urban","Quebec"
"J2J","Urban","Quebec"
"J2K","Urban","Quebec"
"J2L","Urban","Quebec"
"J2M","Urban","Quebec"
"J2N","Urban","Quebec"
"J2R","Urban","Quebec"
"J2S","Urban","Quebec"
"J2T","Urban","Quebec"
"J2W","Urban","Quebec"
"J2X","Urban","Quebec"
"J2Y","Urban","Quebec"
"J3A","Urban","Quebec"
"J3B","Urban","Quebec"
"J3E","Urban","Quebec"
"J3G","Urban","Quebec"
"J3H","Urban","Quebec"
"J3L","Urban","Quebec"
"J3M","Urban","Quebec"
"J3N","Urban","Quebec"
"J3P","Urban","Quebec"
"J3R","Urban","Quebec"
"J3T","Urban","Quebec"
"J3V","Urban","Quebec"
"J3X","Urban","Quebec"
"J3Y","Urban","Quebec"
"J3Z","Urban","Quebec"
"J4B","Urban","Quebec"
"J4G","Urban","Quebec"
"J4H","Urban","Quebec"
"J4J","Urban","Quebec"
"J4K","Urban","Quebec"
"J4L","Urban","Quebec"
"J4M","Urban","Quebec"
"J4N","Urban","Quebec"
"J4P","Urban","Quebec"
"J4R","Urban","Quebec"
"J4S","Urban","Quebec"
"J4T","Urban","Quebec"
"J4V","Urban","Quebec"
"J4W","Urban","Quebec"
"J4X","Urban","Quebec"
"J4Y","Urban","Quebec"
"J4Z","Urban","Quebec"
"J5A","Urban","Quebec"
"J5B","Urban","Quebec"
"J5C","Urban","Quebec"
"J5J","Urban","Quebec"
"J5K","Urban","Quebec"
"J5L","Urban","Quebec"
"J5M","Urban","Quebec"
"J5R","Urban","Quebec"
"J5T","Urban","Quebec"
"J5V","Urban","Quebec"
"J5W","Urban","Quebec"
"J5X","Urban","Quebec"
"J5Y","Urban","Quebec"
"J5Z","Urban","Quebec"
"J6A","Urban","Quebec"
"J6E","Urban","Quebec"
"J6J","Urban","Quebec"
"J6K","Urban","Quebec"
"J6N","Urban","Quebec"
"J6R","Urban","Quebec"
"J6S","Urban","Quebec"
"J6T","Urban","Quebec"
"J6V","Urban","Quebec"
"J6W","Urban","Quebec"
"J6X","Urban","Quebec"
"J6Y","Urban","Quebec"
"J6Z","Urban","Quebec"
"J7A","Urban","Quebec"
"J7B","Urban","Quebec"
"J7C","Urban","Quebec"
"J7E","Urban","Quebec"
"J7G","Urban","Quebec"
"J7H","Urban","Quebec"
"J7J","Urban","Quebec"
"J7K","Urban","Quebec"
"J7L","Urban","Quebec"
"J7M","Urban","Quebec"
"J7N","Urban","Quebec"
"J7P","Urban","Quebec"
"J7R","Urban","Quebec"
"J7T","Urban","Quebec"
"J7V","Urban","Quebec"
"J7W","Urban","Quebec"
"J7X","Urban","Quebec"
"J7Y","Urban","Quebec"
"J7Z","Urban","Quebec"
"J8A","Urban","Quebec"
"J8B","Urban","Quebec"
"J8C","Urban","Quebec"
"J8E","Urban","Quebec"
"J8G","Urban","Quebec"
"J8H","Urban","Quebec"
"J8L","Urban","Quebec"
"J8M","Urban","Quebec"
"J8N","Urban","Quebec"
"J8P","Urban","Quebec"
"J8R","Urban","Quebec"
"J8T","Urban","Quebec"
"J8V","Urban","Quebec"
"J8X","Urban","Quebec"
"J8Y","Urban","Quebec"
"J8Z","Urban","Quebec"
"J9A","Urban","Quebec"
"J9B","Urban","Quebec"
"J9E","Urban","Quebec"
"J9H","Urban","Quebec"
"J9J","Urban","Quebec"
"J9L","Urban","Quebec"
"J9P","Urban","Quebec"
"J9T","Urban","Quebec"
"J9V","Urban","Quebec"
"J9X","Urban","Quebec"
"J9Y","Urban","Quebec"
"J9Z","Urban","Quebec"
"K0A","Rural","Ontario"
"K0B","Rural","Ontario"
"K0C","Rural","Ontario"
"K0E","Rural","Ontario"
"K0G","Rural","Ontario"
"K0H","Rural","Ontario"
"K0J","Rural","Ontario"
"K0K","Rural","Ontario"
"K0L","Rural","Ontario"
"K0M","Rural","Ontario"
"K1A","Urban","Ontario"
"K1B","Urban","Ontario"
"K1C","Urban","Ontario"
"K1E","Urban","Ontario"
"K1G","Urban","Ontario"
"K1H","Urban","Ontario"
"K1J","Urban","Ontario"
"K1K","Urban","Ontario"
"K1L","Urban","Ontario"
"K1M","Urban","Ontario"
"K1N","Urban","Ontario"
"K1P","Urban","Ontario"
"K1R","Urban","Ontario"
"K1S","Urban","Ontario"
"K1T","Urban","Ontario"
"K1V","Urban","Ontario"
"K1W","Urban","Ontario"
"K1X","Urban","Ontario"
"K1Y","Urban","Ontario"
"K1Z","Urban","Ontario"
"K2A","Urban","Ontario"
"K2B","Urban","Ontario"
"K2C","Urban","Ontario"
"K2E","Urban","Ontario"
"K2G","Urban","Ontario"
"K2H","Urban","Ontario"
"K2J","Urban","Ontario"
"K2K","Urban","Ontario"
"K2L","Urban","Ontario"
"K2M","Urban","Ontario"
"K2P","Urban","Ontario"
"K2R","Urban","Ontario"
"K2S","Urban","Ontario"
"K2T","Urban","Ontario"
"K2V","Urban","Ontario"
"K2W","Urban","Ontario"
"K4A","Urban","Ontario"
"K4B","Urban","Ontario"
"K4C","Urban","Ontario"
"K4K","Urban","Ontario"
"K4M","Urban","Ontario"
"K4P","Urban","Ontario"
"K4R","Urban","Ontario"
"K6A","Urban","Ontario"
"K6H","Urban","Ontario"
"K6J","Urban","Ontario"
"K6K","Urban","Ontario"
"K6T","Urban","Ontario"
"K6V","Urban","Ontario"
"K7A","Urban","Ontario"
"K7C","Urban","Ontario"
"K7G","Urban","Ontario"
"K7H","Urban","Ontario"
"K7K","Urban","Ontario"
"K7L","Urban","Ontario"
"K7M","Urban","Ontario"
"K7N","Urban","Ontario"
"K7P","Urban","Ontario"
"K7R","Urban","Ontario"
"K7S","Urban","Ontario"
"K7V","Urban","Ontario"
"K8A","Urban","Ontario"
"K8B","Urban","Ontario"
"K8H","Urban","Ontario"
"K8N","Urban","Ontario"
"K8P","Urban","Ontario"
"K8R","Urban","Ontario"
"K8V","Urban","Ontario"
"K9A","Urban","Ontario"
"K9H","Urban","Ontario"
"K9J","Urban","Ontario"
"K9K","Urban","Ontario"
"K9L","Urban","Ontario"
"K9V","Urban","Ontario"
"L0A","Rural","Ontario"
"L0B","Rural","Ontario"
"L0C","Rural","Ontario"
"L0E","Rural","Ontario"
"L0G","Rural","Ontario"
"L0H","Rural","Ontario"
"L0J","Rural","Ontario"
"L0K","Rural","Ontario"
"L0L","Rural","Ontario"
"L0M","Rural","Ontario"
"L0N","Rural","Ontario"
"L0P","Rural","Ontario"
"L0R","Rural","Ontario"
"L0S","Rural","Ontario"
"L1A","Urban","Ontario"
"L1B","Urban","Ontario"
"L1C","Urban","Ontario"
"L1E","Urban","Ontario"
"L1G","Urban","Ontario"
"L1H","Urban","Ontario"
"L1J","Urban","Ontario"
"L1K","Urban","Ontario"
"L1L","Urban","Ontario"
"L1M","Urban","Ontario"
"L1N","Urban","Ontario"
"L1P","Urban","Ontario"
"L1R","Urban","Ontario"
"L1S","Urban","Ontario"
"L1T","Urban","Ontario"
"L1V","Urban","Ontario"
"L1W","Urban","Ontario"
"L1X","Urban","Ontario"
"L1Y","Urban","Ontario"
"L1Z","Urban","Ontario"
"L2A","Urban","Ontario"
"L2E","Urban","Ontario"
"L2G","Urban","Ontario"
"L2H","Urban","Ontario"
"L2J","Urban","Ontario"
"L2M","Urban","Ontario"
"L2N","Urban","Ontario"
"L2P","Urban","Ontario"
"L2R","Urban","Ontario"
"L2S","Urban","Ontario"
"L2T","Urban","Ontario"
"L2V","Urban","Ontario"
"L2W","Urban","Ontario"
"L3B","Urban","Ontario"
"L3C","Urban","Ontario"
"L3K","Urban","Ontario"
"L3M","Urban","Ontario"
"L3P","Urban","Ontario"
"L3R","Urban","Ontario"
"L3S","Urban","Ontario"
"L3T","Urban","Ontario"
"L3V","Urban","Ontario"
"L3X","Urban","Ontario"
"L3Y","Urban","Ontario"
"L3Z","Urban","Ontario"
"L4A","Urban","Ontario"
"L4B","Urban","Ontario"
"L4C","Urban","Ontario"
"L4E","Urban","Ontario"
"L4G","Urban","Ontario"
"L4H","Urban","Ontario"
"L4J","Urban","Ontario"
"L4K","Urban","Ontario"
"L4L","Urban","Ontario"
"L4M","Urban","Ontario"
"L4N","Urban","Ontario"
"L4P","Urban","Ontario"
"L4R","Urban","Ontario"
"L4S","Urban","Ontario"
"L4T","Urban","Ontario"
"L4V","Urban","Ontario"
"L4W","Urban","Ontario"
"L4X","Urban","Ontario"
"L4Y","Urban","Ontario"
"L4Z","Urban","Ontario"
"L5A","Urban","Ontario"
"L5B","Urban","Ontario"
"L5C","Urban","Ontario"
"L5E","Urban","Ontario"
"L5G","Urban","Ontario"
"L5H","Urban","Ontario"
"L5J","Urban","Ontario"
"L5K","Urban","Ontario"
"L5L","Urban","Ontario"
"L5M","Urban","Ontario"
"L5N","Urban","Ontario"
"L5R","Urban","Ontario"
"L5S","Urban","Ontario"
"L5T","Urban","Ontario"
"L5V","Urban","Ontario"
"L5W","Urban","Ontario"
"L6A","Urban","Ontario"
"L6B","Urban","Ontario"
"L6C","Urban","Ontario"
"L6E","Urban","Ontario"
"L6G","Urban","Ontario"
"L6H","Urban","Ontario"
"L6J","Urban","Ontario"
"L6K","Urban","Ontario"
"L6L","Urban","Ontario"
"L6M","Urban","Ontario"
"L6P","Urban","Ontario"
"L6R","Urban","Ontario"
"L6S","Urban","Ontario"
"L6T","Urban","Ontario"
"L6V","Urban","Ontario"
"L6W","Urban","Ontario"
"L6X","Urban","Ontario"
"L6Y","Urban","Ontario"
"L6Z","Urban","Ontario"
"L7A","Urban","Ontario"
"L7B","Urban","Ontario"
"L7C","Urban","Ontario"
"L7E","Urban","Ontario"
"L7G","Urban","Ontario"
"L7J","Urban","Ontario"
"L7K","Urban","Ontario"
"L7L","Urban","Ontario"
"L7M","Urban","Ontario"
"L7N","Urban","Ontario"
"L7P","Urban","Ontario"
"L7R","Urban","Ontario"
