"zip","region"
66456,"North"
66457,"North"
66458,"North"
66459,"North"
66460,"North"
66461,"North"
66462,"North"
66463,"North"
66464,"North"
66465,"North"
66466,"North"
66467,"North"
66468,"North"
66469,"North"
66470,"North"
66471,"North"
66472,"North"
66473,"North"
66474,"North"
66475,"North"
66476,"North"
66477,"North"
66478,"North"
66479,"North"
66480,"North"
66481,"North"
66482,"North"
66483,"North"
66484,"North"
66485,"North"
66486,"North"
66487,"North"
66488,"North"
66489,"North"
66490,"North"
66491,"North"
66492,"North"
66493,"North"
66494,"North"
66495,"North"
66496,"North"
66497,"North"
66498,"North"
66499,"North"
66500,"North"
66501,"North"
66502,"North"
66503,"North"
66504,"North"
66505,"North"
66506,"North"
66507,"North"
66508,"North"
66509,"North"
66510,"North"
66511,"North"
66512,"North"
66513,"North"
66514,"North"
66515,"North"
66516,"North"
66517,"North"
66518,"North"
66519,"North"
66520,"North"
66521,"North"
66522,"North"
66523,"North"
66524,"North"
66525,"North"
66526,"North"
66527,"North"
66528,"North"
66529,"North"
66530,"North"
66531,"North"
66532,"North"
66533,"North"
66534,"North"
66535,"North"
66536,"North"
66537,"North"
66538,"North"
66539,"North"
66540,"North"
66541,"North"
66542,"North"
66543,"North"
66544,"North"
66545,"North"
66546,"North"
66547,"North"
66548,"North"
66549,"North"
66550,"North"
66551,"North"
66552,"North"
66553,"North"
66554,"North"
66555,"North"
66556,"North"
66557,"North"
66558,"North"
66559,"North"
66560,"North"
66561,"North"
66562,"North"
66563,"North"
66564,"North"
66565,"North"
66566,"North"
66567,"North"
66568,"North"
66569,"North"
66570,"North"
66571,"North"
66572,"North"
66573,"North"
66574,"North"
66575,"North"
66576,"North"
66577,"North"
66578,"North"
66579,"North"
66580,"North"
66581,"North"
66582,"North"
66583,"North"
66584,"North"
66585,"North"
66586,"North"
66587,"North"
66588,"North"
66589,"North"
66590,"North"
66591,"North"
66592,"North"
66593,"North"
66594,"North"
66595,"North"
66596,"North"
66597,"North"
66598,"North"
66599,"North"
66600,"North"
66601,"North"
66602,"North"
66603,"North"
66604,"North"
66605,"North"
66606,"North"
66607,"North"
66608,"North"
66609,"North"
66610,"North"
66611,"North"
66612,"North"
66613,"North"
66614,"North"
66615,"North"
66616,"North"
66617,"North"
66618,"North"
66619,"North"
66620,"North"
66621,"North"
66622,"North"
66623,"North"
66624,"North"
66625,"North"
66626,"North"
66627,"North"
66628,"North"
66629,"North"
66630,"North"
66631,"North"
66632,"North"
66633,"North"
66634,"North"
66635,"North"
66636,"North"
66637,"North"
66638,"North"
66639,"North"
66640,"North"
66641,"North"
66642,"North"
66643,"North"
66644,"North"
66645,"North"
66646,"North"
66647,"North"
66648,"North"
66649,"North"
66650,"North"
66651,"North"
66652,"North"
66653,"North"
66654,"North"
66655,"North"
66656,"North"
66657,"North"
66658,"North"
66659,"North"
66660,"North"
66661,"North"
66662,"North"
66663,"North"
66664,"North"
66665,"North"
66666,"North"
66667,"North"
66668,"North"
66669,"North"
66670,"North"
66671,"North"
66672,"North"
66673,"North"
66674,"North"
66675,"North"
66676,"North"
66677,"North"
66678,"North"
66679,"North"
66680,"North"
66681,"North"
66682,"North"
66683,"North"
66684,"North"
66685,"North"
66686,"North"
66687,"North"
66688,"North"
66689,"North"
66690,"North"
66691,"North"
66692,"North"
66693,"North"
66694,"North"
66695,"North"
66696,"North"
66697,"North"
66698,"North"
66699,"North"
66700,"North"
66701,"North"
66702,"North"
66703,"North"
66704,"North"
66705,"North"
66706,"North"
66707,"North"
66708,"North"
66709,"North"
66710,"North"
66711,"North"
66712,"North"
66713,"North"
66714,"North"
66715,"North"
66716,"North"
66717,"North"
66718,"North"
66719,"North"
66720,"North"
66721,"North"
66722,"North"
66723,"North"
66724,"North"
66725,"North"
66726,"North"
66727,"North"
66728,"North"
66729,"North"
66730,"North"
66731,"North"
66732,"North"
66733,"North"
66734,"North"
66735,"North"
66736,"North"
66737,"North"
66738,"North"
66739,"North"
66740,"North"
66741,"North"
66742,"North"
66743,"North"
66744,"North"
66745,"North"
66746,"North"
66747,"North"
66748,"North"
66749,"North"
66750,"North"
66751,"North"
66752,"North"
66753,"North"
66754,"North"
66755,"North"
66756,"North"
66757,"North"
66758,"North"
66759,"North"
66760,"North"
66761,"North"
66762,"North"
66763,"North"
66764,"North"
66765,"North"
66766,"North"
66767,"North"
66768,"North"
66769,"North"
66770,"North"
66771,"North"
66772,"North"
66773,"North"
66774,"North"
66775,"North"
66776,"North"
66777,"North"
66778,"North"
66779,"North"
66780,"North"
66781,"North"
66782,"North"
66783,"North"
66784,"North"
66785,"North"
66786,"North"
66787,"North"
66788,"North"
66789,"North"
66790,"North"
66791,"North"
66792,"North"
66793,"North"
66794,"North"
66795,"North"
66796,"North"
66797,"North"
66798,"North"
66799,"North"
66800,"North"
66801,"North"
66802,"North"
66803,"North"
66804,"North"
66805,"North"
66806,"North"
66807,"North"
66808,"North"
66809,"North"
66810,"North"
66811,"North"
66812,"North"
66813,"North"
66814,"North"
66815,"North"
66816,"North"
66817,"North"
66818,"North"
66819,"North"
66820,"North"
66821,"North"
66822,"North"
66823,"North"
66824,"North"
66825,"North"
66826,"North"
66827,"North"
66828,"North"
66829,"North"
66830,"North"
66831,"North"
66832,"North"
66833,"North"
66834,"North"
66835,"North"
66836,"North"
66837,"North"
66838,"North"
66839,"North"
66840,"North"
66841,"North"
66842,"North"
66843,"North"
66844,"North"
66845,"North"
66846,"North"
66847,"North"
66848,"North"
66849,"North"
66850,"North"
66851,"North"
66852,"North"
66853,"North"
66854,"North"
66855,"North"
66856,"North"
66857,"North"
66858,"North"
66859,"North"
66860,"North"
66861,"North"
66862,"North"
66863,"North"
66864,"North"
66865,"North"
66866,"North"
66867,"North"
66868,"North"
66869,"North"
66870,"North"
66871,"North"
66872,"North"
66873,"North"
66874,"North"
66875,"North"
66876,"North"
66877,"North"
66878,"North"
66879,"North"
66880,"North"
66881,"North"
66882,"North"
66883,"North"
66884,"North"
66885,"North"
66886,"North"
66887,"North"
66888,"North"
66889,"North"
66890,"North"
66891,"North"
66892,"North"
66893,"North"
66894,"North"
66895,"North"
66896,"North"
66897,"North"
66898,"North"
66899,"North"
66900,"North"
66901,"North"
66902,"North"
66903,"North"
66904,"North"
66905,"North"
66906,"North"
66907,"North"
66908,"North"
66909,"North"
66910,"North"
66911,"North"
66912,"North"
66913,"North"
66914,"North"
66915,"North"
66916,"North"
66917,"North"
66918,"North"
66919,"North"
66920,"North"
66921,"North"
66922,"North"
66923,"North"
66924,"North"
66925,"North"
66926,"North"
66927,"North"
66928,"North"
66929,"North"
66930,"North"
66931,"North"
66932,"North"
66933,"North"
66934,"North"
66935,"North"
66936,"North"
66937,"North"
66938,"North"
66939,"North"
66940,"North"
66941,"North"
66942,"North"
66943,"North"
66944,"North"
66945,"North"
66946,"North"
66947,"North"
66948,"North"
66949,"North"
66950,"North"
66951,"North"
66952,"North"
66953,"North"
66954,"North"
66955,"North"
66956,"North"
66957,"North"
66958,"North"
66959,"North"
66960,"North"
66961,"North"
66962,"North"
66963,"North"
66964,"North"
66965,"North"
66966,"North"
66967,"North"
66968,"North"
66969,"North"
66970,"North"
66971,"North"
66972,"North"
66973,"North"
66974,"North"
66975,"North"
66976,"North"
66977,"North"
66978,"North"
66979,"North"
66980,"North"
66981,"North"
66982,"North"
66983,"North"
66984,"North"
66985,"North"
66986,"North"
66987,"North"
66988,"North"
66989,"North"
66990,"North"
66991,"North"
66992,"North"
66993,"North"
66994,"North"
66995,"North"
66996,"North"
66997,"North"
66998,"North"
66999,"North"
67000,"North"
67001,"North"
67002,"North"
67003,"North"
67004,"North"
67005,"North"
67006,"North"
67007,"North"
67008,"North"
67009,"North"
67010,"North"
67011,"North"
67012,"North"
67013,"North"
67014,"North"
67015,"North"
67016,"North"
67017,"North"
67018,"North"
67019,"North"
67020,"North"
67021,"North"
67022,"North"
67023,"North"
67024,"North"
67025,"North"
67026,"North"
67027,"North"
67028,"North"
67029,"North"
67030,"North"
67031,"North"
67032,"North"
67033,"North"
67034,"North"
67035,"North"
67036,"North"
67037,"North"
67038,"North"
67039,"North"
67040,"North"
67041,"North"
67042,"North"
67043,"North"
67044,"North"
67045,"North"
67046,"North"
67047,"North"
67048,"North"
67049,"North"
67050,"North"
67051,"North"
67052,"North"
67053,"North"
67054,"North"
67055,"North"
67056,"North"
67057,"North"
67058,"North"
67059,"North"
67060,"North"
67061,"North"
67062,"North"
67063,"North"
67064,"North"
67065,"North"
67066,"North"
67067,"North"
67068,"North"
67069,"North"
67070,"North"
67071,"North"
67072,"North"
67073,"North"
67074,"North"
67075,"North"
67076,"North"
67077,"North"
67078,"North"
67079,"North"
67080,"North"
67081,"North"
67082,"North"
67083,"North"
67084,"North"
67085,"North"
67086,"North"
67087,"North"
67088,"North"
67089,"North"
67090,"North"
67091,"North"
67092,"North"
67093,"North"
67094,"North"
67095,"North"
67096,"North"
67097,"North"
67098,"North"
67099,"North"
67100,"North"
67101,"North"
67102,"North"
67103,"North"
67104,"North"
67105,"North"
67106,"North"
67107,"North"
67108,"North"
67109,"North"
67110,"North"
67111,"North"
67112,"North"
67113,"North"
67114,"North"
67115,"North"
67116,"North"
67117,"North"
67118,"North"
67119,"North"
67120,"North"
67121,"North"
67122,"North"
67123,"North"
67124,"North"
67125,"North"
67126,"North"
67127,"North"
67128,"North"
67129,"North"
67130,"North"
67131,"North"
67132,"North"
67133,"North"
67134,"North"
67135,"North"
67136,"North"
67137,"North"
67138,"North"
67139,"North"
67140,"North"
67141,"North"
67142,"North"
67143,"North"
67144,"North"
67145,"North"
67146,"North"
67147,"North"
67148,"North"
67149,"North"
67150,"North"
67151,"North"
67152,"North"
67153,"North"
67154,"North"
67155,"North"
67156,"North"
67157,"North"
67158,"North"
67159,"North"
67160,"North"
67161,"North"
67162,"North"
67163,"North"
67164,"North"
67165,"North"
67166,"North"
67167,"North"
67168,"North"
67169,"North"
67170,"North"
67171,"North"
67172,"North"
67173,"North"
67174,"North"
67175,"North"
67176,"North"
67177,"North"
67178,"North"
67179,"North"
67180,"North"
67181,"North"
67182,"North"
67183,"North"
67184,"North"
67185,"North"
67186,"North"
67187,"North"
67188,"North"
67189,"North"
67190,"North"
67191,"North"
67192,"North"
67193,"North"
67194,"North"
67195,"North"
67196,"North"
67197,"North"
67198,"North"
67199,"North"
67200,"North"
67201,"North"
67202,"North"
67203,"North"
67204,"North"
67205,"North"
67206,"North"
67207,"North"
67208,"North"
67209,"North"
67210,"North"
67211,"North"
67212,"North"
67213,"North"
67214,"North"
67215,"North"
67216,"North"
67217,"North"
67218,"North"
67219,"North"
67220,"North"
67221,"North"
67222,"North"
67223,"North"
67224,"North"
67225,"North"
67226,"North"
67227,"North"
67228,"North"
67229,"North"
67230,"North"
67231,"North"
67232,"North"
67233,"North"
67234,"North"
67235,"North"
67236,"North"
67237,"North"
67238,"North"
67239,"North"
67240,"North"
67241,"North"
67242,"North"
67243,"North"
67244,"North"
67245,"North"
67246,"North"
67247,"North"
67248,"North"
67249,"North"
67250,"North"
67251,"North"
67252,"North"
67253,"North"
67254,"North"
67255,"North"
67256,"North"
67257,"North"
67258,"North"
67259,"North"
67260,"North"
67261,"North"
67262,"North"
67263,"North"
67264,"North"
67265,"North"
67266,"North"
67267,"North"
67268,"North"
67269,"North"
67270,"North"
67271,"North"
67272,"North"
67273,"North"
67274,"North"
67275,"North"
67276,"North"
67277,"North"
67278,"North"
67279,"North"
67280,"North"
67281,"North"
67282,"North"
67283,"North"
67284,"North"
67285,"North"
67286,"North"
67287,"North"
67288,"North"
67289,"North"
67290,"North"
67291,"North"
67292,"North"
67293,"North"
67294,"North"
67295,"North"
67296,"North"
67297,"North"
67298,"North"
67299,"North"
67300,"North"
67301,"North"
67302,"North"
67303,"North"
67304,"North"
67305,"North"
67306,"North"
67307,"North"
67308,"North"
67309,"North"
67310,"North"
67311,"North"
67312,"North"
67313,"North"
67314,"North"
67315,"North"
67316,"North"
67317,"North"
67318,"North"
67319,"North"
67320,"North"
67321,"North"
67322,"North"
67323,"North"
67324,"North"
67325,"North"
67326,"North"
67327,"North"
67328,"North"
67329,"North"
67330,"North"
67331,"North"
67332,"North"
67333,"North"
67334,"North"
67335,"North"
67336,"North"
67337,"North"
67338,"North"
67339,"North"
67340,"North"
67341,"North"
67342,"North"
67343,"North"
67344,"North"
67345,"North"
67346,"North"
67347,"North"
67348,"North"
67349,"North"
67350,"North"
67351,"North"
67352,"North"
67353,"North"
67354,"North"
67355,"North"
67356,"North"
67357,"North"
67358,"North"
67359,"North"
67360,"North"
67361,"North"
67362,"North"
67363,"North"
67364,"North"
67365,"North"
67366,"North"
67367,"North"
67368,"North"
67369,"North"
67370,"North"
67371,"North"
67372,"North"
67373,"North"
67374,"North"
67375,"North"
67376,"North"
67377,"North"
67378,"North"
67379,"North"
67380,"North"
67381,"North"
67382,"North"
67383,"North"
67384,"North"
67385,"North"
67386,"North"
67387,"North"
67388,"North"
67389,"North"
67390,"North"
67391,"North"
67392,"North"
67393,"North"
67394,"North"
67395,"North"
67396,"North"
67397,"North"
67398,"North"
67399,"North"
67400,"North"
67401,"North"
67402,"North"
67403,"North"
67404,"North"
67405,"North"
67406,"North"
67407,"North"
67408,"North"
67409,"North"
67410,"North"
67411,"North"
67412,"North"
67413,"North"
67414,"North"
67415,"North"
67416,"North"
67417,"North"
67418,"North"
67419,"North"
67420,"North"
67421,"North"
67422,"North"
67423,"North"
67424,"North"
67425,"North"
67426,"North"
67427,"North"
67428,"North"
67429,"North"
67430,"North"
67431,"North"
67432,"North"
67433,"North"
67434,"North"
67435,"North"
67436,"North"
67437,"North"
67438,"North"
67439,"North"
67440,"North"
67441,"North"
67442,"North"
67443,"North"
67444,"North"
67445,"North"
67446,"North"
67447,"North"
67448,"North"
67449,"North"
67450,"North"
67451,"North"
67452,"North"
67453,"North"
67454,"North"
67455,"North"
67456,"North"
67457,"North"
67458,"North"
67459,"North"
67460,"North"
67461,"North"
67462,"North"
67463,"North"
67464,"North"
67465,"North"
67466,"North"
67467,"North"
67468,"North"
67469,"North"
67470,"North"
67471,"North"
67472,"North"
67473,"North"
67474,"North"
67475,"North"
67476,"North"
67477,"North"
67478,"North"
67479,"North"
67480,"North"
67481,"North"
67482,"North"
67483,"North"
67484,"North"
67485,"North"
67486,"North"
67487,"North"
67488,"North"
67489,"North"
67490,"North"
67491,"North"
67492,"North"
67493,"North"
67494,"North"
67495,"North"
67496,"North"
67497,"North"
67498,"North"
67499,"North"
67500,"North"
67501,"North"
67502,"North"
67503,"North"
67504,"North"
67505,"North"
67506,"North"
67507,"North"
67508,"North"
67509,"North"
67510,"North"
67511,"North"
67512,"North"
67513,"North"
67514,"North"
67515,"North"
67516,"North"
67517,"North"
67518,"North"
67519,"North"
67520,"North"
67521,"North"
67522,"North"
67523,"North"
67524,"North"
67525,"North"
67526,"North"
67527,"North"
67528,"North"
67529,"North"
67530,"North"
67531,"North"
67532,"North"
67533,"North"
67534,"North"
67535,"North"
67536,"North"
67537,"North"
67538,"North"
67539,"North"
67540,"North"
67541,"North"
67542,"North"
67543,"North"
67544,"North"
67545,"North"
67546,"North"
67547,"North"
67548,"North"
67549,"North"
67550,"North"
67551,"North"
67552,"North"
67553,"North"
67554,"North"
67555,"North"
67556,"North"
67557,"North"
67558,"North"
67559,"North"
67560,"North"
67561,"North"
67562,"North"
67563,"North"
67564,"North"
67565,"North"
67566,"North"
67567,"North"
67568,"North"
67569,"North"
67570,"North"
67571,"North"
67572,"North"
67573,"North"
67574,"North"
67575,"North"
67576,"North"
67577,"North"
67578,"North"
67579,"North"
67580,"North"
67581,"North"
67582,"North"
67583,"North"
67584,"North"
67585,"North"
67586,"North"
67587,"North"
67588,"North"
67589,"North"
67590,"North"
67591,"North"
67592,"North"
67593,"North"
67594,"North"
67595,"North"
67596,"North"
67597,"North"
67598,"North"
67599,"North"
67600,"North"
67601,"North"
67602,"North"
67603,"North"
67604,"North"
67605,"North"
67606,"North"
67607,"North"
67608,"North"
67609,"North"
67610,"North"
67611,"North"
67612,"North"
67613,"North"
67614,"North"
67615,"North"
67616,"North"
67617,"North"
67618,"North"
67619,"North"
67620,"North"
67621,"North"
67622,"North"
67623,"North"
67624,"North"
67625,"North"
67626,"North"
67627,"North"
67628,"North"
67629,"North"
67630,"North"
67631,"North"
67632,"North"
67633,"North"
67634,"North"
67635,"North"
67636,"North"
67637,"North"
67638,"North"
67639,"North"
67640,"North"
67641,"North"
67642,"North"
67643,"North"
67644,"North"
67645,"North"
67646,"North"
67647,"North"
67648,"North"
67649,"North"
67650,"North"
67651,"North"
67652,"North"
67653,"North"
67654,"North"
67655,"North"
67656,"North"
67657,"North"
67658,"North"
67659,"North"
67660,"North"
67661,"North"
67662,"North"
67663,"North"
67664,"North"
67665,"North"
67666,"North"
67667,"North"
67668,"North"
67669,"North"
67670,"North"
67671,"North"
67672,"North"
67673,"North"
67674,"North"
67675,"North"
67676,"North"
67677,"North"
67678,"North"
67679,"North"
67680,"North"
67681,"North"
67682,"North"
67683,"North"
67684,"North"
67685,"North"
67686,"North"
67687,"North"
67688,"North"
67689,"North"
67690,"North"
67691,"North"
67692,"North"
67693,"North"
67694,"North"
67695,"North"
67696,"North"
67697,"North"
67698,"North"
67699,"North"
67700,"North"
67701,"North"
67702,"North"
67703,"North"
67704,"North"
67705,"North"
67706,"North"
67707,"North"
67708,"North"
67709,"North"
67710,"North"
67711,"North"
67712,"North"
67713,"North"
67714,"North"
67715,"North"
67716,"North"
67717,"North"
67718,"North"
67719,"North"
67720,"North"
67721,"North"
67722,"North"
67723,"North"
67724,"North"
67725,"North"
67726,"North"
67727,"North"
67728,"North"
67729,"North"
67730,"North"
67731,"North"
67732,"North"
67733,"North"
67734,"North"
67735,"North"
67736,"North"
67737,"North"
67738,"North"
67739,"North"
67740,"North"
67741,"North"
67742,"North"
67743,"North"
67744,"North"
67745,"North"
67746,"North"
67747,"North"
67748,"North"
67749,"North"
67750,"North"
67751,"North"
67752,"North"
67753,"North"
67754,"North"
67755,"North"
67756,"North"
67757,"North"
67758,"North"
67759,"North"
67760,"North"
67761,"North"
67762,"North"
67763,"North"
67764,"North"
67765,"North"
67766,"North"
67767,"North"
67768,"North"
67769,"North"
67770,"North"
67771,"North"
67772,"North"
67773,"North"
67774,"North"
67775,"North"
67776,"North"
67777,"North"
67778,"North"
67779,"North"
67780,"North"
67781,"North"
67782,"North"
67783,"North"
67784,"North"
67785,"North"
67786,"North"
67787,"North"
67788,"North"
67789,"North"
67790,"North"
67791,"North"
67792,"North"
67793,"North"
67794,"North"
67795,"North"
67796,"North"
67797,"North"
67798,"North"
67799,"North"
67800,"North"
67801,"North"
67802,"North"
67803,"North"
67804,"North"
67805,"North"
67806,"North"
67807,"North"
67808,"North"
67809,"North"
67810,"North"
67811,"North"
67812,"North"
67813,"North"
67814,"North"
67815,"North"
67816,"North"
67817,"North"
67818,"North"
67819,"North"
67820,"North"
67821,"North"
67822,"North"
67823,"North"
67824,"North"
67825,"North"
67826,"North"
67827,"North"
67828,"North"
67829,"North"
67830,"North"
67831,"North"
67832,"North"
67833,"North"
67834,"North"
67835,"North"
67836,"North"
67837,"North"
67838,"North"
67839,"North"
67840,"North"
67841,"North"
67842,"North"
67843,"North"
67844,"North"
67845,"North"
67846,"North"
67847,"North"
67848,"North"
67849,"North"
67850,"North"
67851,"North"
67852,"North"
67853,"North"
67854,"North"
67855,"North"
67856,"North"
67857,"North"
67858,"North"
67859,"North"
67860,"North"
67861,"North"
67862,"North"
67863,"North"
67864,"North"
67865,"North"
67866,"North"
67867,"North"
67868,"North"
67869,"North"
67870,"North"
67871,"North"
67872,"North"
67873,"North"
67874,"North"
67875,"North"
67876,"North"
67877,"North"
67878,"North"
67879,"North"
67880,"North"
67881,"North"
67882,"North"
67883,"North"
67884,"North"
67885,"North"
67886,"North"
67887,"North"
67888,"North"
67889,"North"
67890,"North"
67891,"North"
67892,"North"
67893,"North"
67894,"North"
67895,"North"
67896,"North"
67897,"North"
67898,"North"
67899,"North"
67900,"North"
67901,"North"
67902,"North"
67903,"North"
67904,"North"
67905,"North"
67906,"North"
67907,"North"
67908,"North"
67909,"North"
67910,"North"
67911,"North"
67912,"North"
67913,"North"
67914,"North"
67915,"North"
67916,"North"
67917,"North"
67918,"North"
67919,"North"
67920,"North"
67921,"North"
67922,"North"
67923,"North"
67924,"North"
67925,"North"
67926,"North"
67927,"North"
67928,"North"
67929,"North"
67930,"North"
67931,"North"
67932,"North"
67933,"North"
67934,"North"
67935,"North"
67936,"North"
67937,"North"
67938,"North"
67939,"North"
67940,"North"
67941,"North"
67942,"North"
67943,"North"
67944,"North"
67945,"North"
67946,"North"
67947,"North"
67948,"North"
67949,"North"
67950,"North"
67951,"North"
67952,"North"
67953,"North"
67954,"North"
67955,"North"
67956,"North"
67957,"North"
67958,"North"
67959,"North"
67960,"North"
67961,"North"
67962,"North"
67963,"North"
67964,"North"
67965,"North"
67966,"North"
67967,"North"
67968,"North"
67969,"North"
67970,"North"
67971,"North"
67972,"North"
67973,"North"
67974,"North"
67975,"North"
67976,"North"
67977,"North"
67978,"North"
67979,"North"
67980,"North"
67981,"North"
67982,"North"
67983,"North"
67984,"North"
67985,"North"
67986,"North"
67987,"North"
67988,"North"
67989,"North"
67990,"North"
67991,"North"
67992,"North"
67993,"North"
67994,"North"
67995,"North"
67996,"North"
