"Postcode","Region","Rural.urban"
85813,"East","Rural"
85064,"East","Rural"
86047,"East","Rural"
85649,"East","Rural"
86046,"East","Rural"
85384,"East","Rural"
85065,"East","Rural"
13401,"Center-West","Urban"
13301,"Center-West","Urban"
13302,"Center-West","Urban"
13303,"Center-West","Urban"
13304,"Center-West","Urban"
13306,"Center-West","Urban"
13307,"Center-West","Urban"
13308,"Center-West","Urban"
13312,"Center-West","Urban"
13335,"Center-West","Rural"
13364,"Center-West","Rural"
13414,"Center-West","Rural"
13265,"Center-West","Rural"
13380,"Center-West","Rural"
13651,"Center-West","Rural"
13370,"Center-West","Rural"
13635,"Center-West","Rural"
13612,"Center-West","Rural"
13642,"Center-West","Rural"
13359,"Center-West","Rural"
13452,"Center-West","Rural"
13444,"Center-West","Rural"
13261,"Center-West","Rural"
13365,"Center-West","Rural"
13361,"Center-West","Rural"
13355,"Center-West","Rural"
13416,"Center-West","Rural"
13352,"Center-West","Rural"
13615,"Center-West","Rural"
13613,"Center-West","Rural"
13633,"Center-West","Rural"
13634,"Center-West","Rural"
13411,"Center-West","Rural"
13610,"Center-West","Rural"
13322,"Center-West","Rural"
13432,"Center-West","Rural"
13443,"Center-West","Rural"
13345,"Center-West","Rural"
13357,"Center-West","Rural"
13415,"Center-West","Rural"
13645,"Center-West","Rural"
13429,"Center-West","Rural"
13450,"Center-West","Rural"
13648,"Center-West","Rural"
13418,"Center-West","Rural"
13342,"Center-West","Rural"
13640,"Center-West","Rural"
13351,"Center-West","Rural"
13381,"Center-West","Rural"
13436,"Center-West","Rural"
13256,"Center-West","Rural"
13329,"Center-West","Rural"
13347,"Center-West","Rural"
13430,"Center-West","Rural"
13353,"Center-West","Rural"
13605,"Center-West","Rural"
13425,"Center-West","Rural"
13646,"Center-West","Rural"
13639,"Center-West","Rural"
13606,"Center-West","Rural"
13371,"Center-West","Rural"
13638,"Center-West","Rural"
13451,"Center-West","Rural"
13630,"Center-West","Rural"
13332,"Center-West","Rural"
13376,"Center-West","Rural"
13644,"Center-West","Rural"
13637,"Center-West","Rural"
13358,"Center-West","Rural"
13657,"Center-West","Rural"
13428,"Center-West","Rural"
13350,"Center-West","Rural"
13264,"Center-West","Rural"
13435,"Center-West","Rural"
13623,"Center-West","Rural"
13325,"Center-West","Rural"
13346,"Center-West","Rural"
13446,"Center-West","Rural"
13363,"Center-West","Rural"
13259,"Center-West","Rural"
13403,"Center-West","Rural"
13366,"Center-West","Rural"
13369,"Center-West","Rural"
13607,"Center-West","Rural"
13426,"Center-West","Rural"
13367,"Center-West","Rural"
13453,"Center-West","Rural"
13622,"Center-West","Rural"
13356,"Center-West","Rural"
13431,"Center-West","Rural"
13626,"Center-West","Rural"
13340,"Center-West","Rural"
13373,"Center-West","Rural"
13368,"Center-West","Rural"
13641,"Center-West","Rural"
13254,"Center-West","Rural"
13382,"Center-West","Rural"
13341,"Center-West","Rural"
13440,"Center-West","Rural"
13650,"Center-West","Rural"
13262,"Center-West","Rural"
13441,"Center-West","Rural"
13247,"Center-West","Rural"
13614,"Center-West","Rural"
13643,"Center-West","Rural"
13433,"Center-West","Rural"
13324,"Center-West","Rural"
13412,"Center-West","Rural"
13349,"Center-West","Rural"
13621,"Center-West","Rural"
13328,"Center-West","Rural"
13266,"Center-West","Rural"
13377,"Center-West","Rural"
13647,"Center-West","Rural"
13360,"Center-West","Rural"
13334,"Center-West","Rural"
13442,"Center-West","Rural"
13258,"Center-West","Rural"
13344,"Center-West","Rural"
13632,"Center-West","Rural"
13336,"Center-West","Rural"
13255,"Center-West","Rural"
13636,"Center-West","Rural"
13655,"Center-West","Rural"
13248,"Center-West","Rural"
13362,"Center-West","Rural"
13333,"Center-West","Rural"
13321,"Center-West","Rural"
13653,"Center-West","Rural"
13319,"Center-West","Rural"
13625,"Center-West","Rural"
13354,"Center-West","Rural"
13628,"Center-West","Rural"
13372,"Center-West","Rural"
13348,"Center-West","Rural"
13326,"Center-West","Rural"
13343,"Center-West","Rural"
13330,"Center-West","Rural"
13320,"Center-West","Rural"
13257,"Center-West","Rural"
13263,"Center-West","Rural"
13267,"Center-West","Rural"
13323,"Center-West","Rural"
13404,"Center-West","Rural"
13375,"Center-West","Rural"
13652,"Center-West","Rural"
13616,"Center-West","Rural"
13374,"Center-West","Rural"
13327,"Center-West","Rural"
13629,"Center-West","Rural"
13656,"Center-West","Rural"
13620,"Center-West","Rural"
13331,"Center-West","Rural"
13611,"Center-West","Rural"
13631,"Center-West","Rural"
13445,"Center-West","Rural"
13423,"Center-West","Rural"
13624,"Center-West","Rural"
13337,"Center-West","Urban"
13253,"Center-West","Urban"
13601,"Center-West","Urban"
13434,"Center-West","Urban"
13339,"Center-West","Rural"
13649,"Center-West","Rural"
13618,"Center-West","Rural"
13654,"Center-West","Rural"
13608,"Center-West","Rural"
13249,"Center-West","Rural"
13338,"Center-West","Rural"
10001,"Center-West","Urban"
10002,"Center-West","Urban"
10003,"Center-West","Urban"
10004,"Center-West","Urban"
10005,"Center-West","Urban"
10006,"Center-West","Urban"
10007,"Center-West","Urban"
10008,"Center-West","Urban"
10009,"Center-West","Urban"
10011,"Center-West","Urban"
10012,"Center-West","Urban"
10014,"Center-West","Urban"
10015,"Center-West","Urban"
10018,"Center-West","Urban"
10019,"Center-West","Urban"
10020,"Center-West","Urban"
10024,"Center-West","Urban"
10025,"Center-West","Urban"
10028,"Center-West","Urban"
10029,"Center-West","Urban"
10030,"Center-West","Urban"
10031,"Center-West","Urban"
12501,"Center-West","Urban"
12502,"Center-West","Urban"
12504,"Center-West","Urban"
12505,"Center-West","Urban"
12201,"Center-West","Urban"
13201,"Center-West","Urban"
13141,"Center-West","Rural"
12022,"Center-West","Rural"
12321,"Center-West","Rural"
13543,"Center-West","Rural"
12529,"Center-West","Rural"
12042,"Center-West","Rural"
13225,"Center-West","Rural"
12416,"Center-West","Rural"
13019,"Center-West","Rural"
12326,"Center-West","Rural"
13244,"Center-West","Rural"
12407,"Center-West","Rural"
12139,"Center-West","Rural"
12411,"Center-West","Rural"
12412,"Center-West","Rural"
13152,"Center-West","Rural"
12034,"Center-West","Rural"
12284,"Center-West","Rural"
12648,"Center-West","Rural"
12437,"Center-West","Rural"
12256,"Center-West","Rural"
13153,"Center-West","Rural"
12049,"Center-West","Rural"
12285,"Center-West","Rural"
13009,"Center-West","Rural"
13517,"Center-West","Rural"
12521,"Center-West","Rural"
12573,"Center-West","Rural"
12493,"Center-West","Rural"
12414,"Center-West","Rural"
12626,"Center-West","Rural"
12483,"Center-West","Rural"
12537,"Center-West","Rural"
13422,"Center-West","Rural"
13123,"Center-West","Rural"
12251,"Center-West","Rural"
13026,"Center-West","Rural"
12538,"Center-West","Rural"
12313,"Center-West","Rural"
12257,"Center-West","Rural"
13064,"Center-West","Rural"
12226,"Center-West","Rural"
12227,"Center-West","Rural"
13213,"Center-West","Rural"
12039,"Center-West","Rural"
12116,"Center-West","Rural"
12482,"Center-West","Rural"
12423,"Center-West","Rural"
13041,"Center-West","Rural"
12070,"Center-West","Rural"
13519,"Center-West","Rural"
12117,"Center-West","Rural"
12413,"Center-West","Rural"
13541,"Center-West","Rural"
13151,"Center-West","Rural"
12343,"Center-West","Rural"
13032,"Center-West","Rural"
12242,"Center-West","Rural"
13529,"Center-West","Rural"
13113,"Center-West","Rural"
12050,"Center-West","Rural"
13126,"Center-West","Rural"
12527,"Center-West","Rural"
13526,"Center-West","Rural"
13109,"Center-West","Rural"
12212,"Center-West","Rural"
12401,"Center-West","Rural"
12252,"Center-West","Rural"
12450,"Center-West","Rural"
12486,"Center-West","Rural"
12068,"Center-West","Rural"
13115,"Center-West","Rural"
12017,"Center-West","Rural"
13145,"Center-West","Rural"
12418,"Center-West","Rural"
12314,"Center-West","Rural"
12038,"Center-West","Rural"
12528,"Center-West","Rural"
13065,"Center-West","Rural"
13108,"Center-West","Rural"
12291,"Center-West","Rural"
12426,"Center-West","Rural"
12427,"Center-West","Rural"
12341,"Center-West","Rural"
12611,"Center-West","Rural"
12519,"Center-West","Rural"
12221,"Center-West","Rural"
12214,"Center-West","Rural"
12329,"Center-West","Rural"
12475,"Center-West","Rural"
12517,"Center-West","Rural"
12127,"Center-West","Rural"
12336,"Center-West","Rural"
12228,"Center-West","Rural"
12518,"Center-West","Rural"
12536,"Center-West","Rural"
12539,"Center-West","Rural"
12334,"Center-West","Rural"
13030,"Center-West","Rural"
13224,"Center-West","Rural"
12631,"Center-West","Rural"
12624,"Center-West","Rural"
12446,"Center-West","Rural"
13424,"Center-West","Rural"
13233,"Center-West","Rural"
12128,"Center-West","Rural"
13042,"Center-West","Rural"
12055,"Center-West","Rural"
12071,"Center-West","Rural"
12404,"Center-West","Rural"
12465,"Center-West","Rural"
12118,"Center-West","Rural"
12178,"Center-West","Rural"
13251,"Center-West","Rural"
12317,"Center-West","Rural"
12109,"Center-West","Rural"
13018,"Center-West","Rural"
13130,"Center-West","Rural"
13124,"Center-West","Rural"
12403,"Center-West","Rural"
12461,"Center-West","Rural"
12531,"Center-West","Rural"
12258,"Center-West","Rural"
12287,"Center-West","Rural"
12286,"Center-West","Rural"
13016,"Center-West","Rural"
12464,"Center-West","Rural"
13066,"Center-West","Rural"
12540,"Center-West","Rural"
13547,"Center-West","Rural"
12316,"Center-West","Rural"
13047,"Center-West","Rural"
12541,"Center-West","Rural"
12542,"Center-West","Rural"
12347,"Center-West","Rural"
12454,"Center-West","Rural"
13219,"Center-West","Rural"
12523,"Center-West","Rural"
12229,"Center-West","Rural"
13111,"Center-West","Rural"
12119,"Center-West","Rural"
12492,"Center-West","Rural"
12145,"Center-West","Rural"
13017,"Center-West","Rural"
13143,"Center-West","Rural"
12276,"Center-West","Rural"
13132,"Center-West","Rural"
12534,"Center-West","Rural"
12053,"Center-West","Rural"
12142,"Center-West","Rural"
12520,"Center-West","Rural"
12263,"Center-West","Rural"
12220,"Center-West","Rural"
12067,"Center-West","Rural"
12143,"Center-West","Rural"
12419,"Center-West","Rural"
12129,"Center-West","Rural"
13226,"Center-West","Rural"
12124,"Center-West","Rural"
12447,"Center-West","Rural"
12140,"Center-West","Rural"
13135,"Center-West","Rural"
12422,"Center-West","Rural"
13037,"Center-West","Rural"
13528,"Center-West","Rural"
12641,"Center-West","Rural"
13252,"Center-West","Rural"
12340,"Center-West","Rural"
13212,"Center-West","Rural"
12224,"Center-West","Rural"
13229,"Center-West","Rural"
12417,"Center-West","Rural"
12639,"Center-West","Rural"
12277,"Center-West","Rural"
13119,"Center-West","Rural"
13215,"Center-West","Rural"
13210,"Center-West","Rural"
13211,"Center-West","Rural"
12409,"Center-West","Rural"
12278,"Center-West","Rural"
12616,"Center-West","Rural"
12544,"Center-West","Rural"
13530,"Center-West","Rural"
12311,"Center-West","Rural"
13136,"Center-West","Rural"
13048,"Center-West","Rural"
12123,"Center-West","Rural"
12249,"Center-West","Rural"
12262,"Center-West","Rural"
12234,"Center-West","Rural"
12344,"Center-West","Rural"
12146,"Center-West","Rural"
12108,"Center-West","Rural"
12466,"Center-West","Rural"
13067,"Center-West","Rural"
12219,"Center-West","Rural"
12467,"Center-West","Rural"
12240,"Center-West","Rural"
12646,"Center-West","Rural"
12440,"Center-West","Rural"
12545,"Center-West","Rural"
12019,"Center-West","Rural"
12010,"Center-West","Rural"
12163,"Center-West","Rural"
12136,"Center-West","Rural"
12335,"Center-West","Rural"
12125,"Center-West","Rural"
12137,"Center-West","Rural"
12415,"Center-West","Rural"
13027,"Center-West","Rural"
12337,"Center-West","Rural"
13410,"Center-West","Rural"
12451,"Center-West","Rural"
13134,"Center-West","Rural"
12040,"Center-West","Rural"
12338,"Center-West","Rural"
13420,"Center-West","Rural"
12211,"Center-West","Rural"
12138,"Center-West","Rural"
12612,"Center-West","Rural"
13236,"Center-West","Rural"
12248,"Center-West","Rural"
12133,"Center-West","Rural"
12406,"Center-West","Rural"
12048,"Center-West","Rural"
13040,"Center-West","Rural"
12147,"Center-West","Rural"
12511,"Center-West","Rural"
12410,"Center-West","Rural"
13504,"Center-West","Rural"
12622,"Center-West","Rural"
13021,"Center-West","Rural"
13235,"Center-West","Rural"
12106,"Center-West","Rural"
12424,"Center-West","Rural"
12576,"Center-West","Rural"
12530,"Center-West","Rural"
13107,"Center-West","Rural"
13532,"Center-West","Rural"
13127,"Center-West","Rural"
13216,"Center-West","Rural"
12254,"Center-West","Rural"
13232,"Center-West","Rural"
12218,"Center-West","Rural"
12332,"Center-West","Rural"
12408,"Center-West","Rural"
12526,"Center-West","Rural"
13227,"Center-West","Rural"
13137,"Center-West","Rural"
12617,"Center-West","Rural"
12452,"Center-West","Rural"
12575,"Center-West","Rural"
12522,"Center-West","Rural"
12045,"Center-West","Rural"
13038,"Center-West","Rural"
12574,"Center-West","Rural"
12148,"Center-West","Rural"
12149,"Center-West","Rural"
12150,"Center-West","Rural"
12151,"Center-West","Rural"
13550,"Center-West","Rural"
12318,"Center-West","Rural"
13121,"Center-West","Rural"
13239,"Center-West","Rural"
12421,"Center-West","Rural"
12072,"Center-West","Rural"
12319,"Center-West","Rural"
13006,"Center-West","Rural"
13427,"Center-West","Rural"
12618,"Center-West","Rural"
13007,"Center-West","Rural"
12233,"Center-West","Rural"
13523,"Center-West","Rural"
12264,"Center-West","Rural"
12015,"Center-West","Rural"
13538,"Center-West","Rural"
12120,"Center-West","Rural"
12632,"Center-West","Rural"
12546,"Center-West","Rural"
12235,"Center-West","Rural"
13231,"Center-West","Rural"
12152,"Center-West","Rural"
13230,"Center-West","Rural"
13542,"Center-West","Rural"
12153,"Center-West","Rural"
12236,"Center-West","Rural"
13234,"Center-West","Rural"
13522,"Center-West","Rural"
12216,"Center-West","Rural"
12105,"Center-West","Rural"
12111,"Center-West","Rural"
12533,"Center-West","Rural"
12184,"Center-West","Rural"
12480,"Center-West","Rural"
12328,"Center-West","Rural"
12327,"Center-West","Rural"
12547,"Center-West","Rural"
12183,"Center-West","Rural"
12031,"Center-West","Rural"
13117,"Center-West","Rural"
12615,"Center-West","Rural"
12405,"Center-West","Rural"
12479,"Center-West","Rural"
12154,"Center-West","Rural"
12005,"Center-West","Rural"
13521,"Center-West","Rural"
13114,"Center-West","Rural"
13511,"Center-West","Rural"
12488,"Center-West","Rural"
12182,"Center-West","Rural"
13024,"Center-West","Rural"
12436,"Center-West","Rural"
12433,"Center-West","Rural"
12155,"Center-West","Rural"
12245,"Center-West","Rural"
13512,"Center-West","Rural"
12210,"Center-West","Rural"
13544,"Center-West","Rural"
13250,"Center-West","Rural"
12339,"Center-West","Rural"
13125,"Center-West","Rural"
13031,"Center-West","Rural"
12244,"Center-West","Rural"
13289,"Center-West","Rural"
13142,"Center-West","Rural"
12308,"Center-West","Rural"
12635,"Center-West","Rural"
13221,"Center-West","Rural"
12548,"Center-West","Rural"
12549,"Center-West","Rural"
13050,"Center-West","Rural"
13548,"Center-West","Rural"
12041,"Center-West","Rural"
12156,"Center-West","Rural"
12259,"Center-West","Rural"
12647,"Center-West","Rural"
12550,"Center-West","Rural"
12232,"Center-West","Rural"
12215,"Center-West","Rural"
13008,"Center-West","Rural"
13112,"Center-West","Rural"
12230,"Center-West","Rural"
13028,"Center-West","Rural"
12514,"Center-West","Rural"
12006,"Center-West","Rural"
12237,"Center-West","Rural"
12453,"Center-West","Rural"
13524,"Center-West","Rural"
13243,"Center-West","Rural"
12181,"Center-West","Rural"
12428,"Center-West","Rural"
13128,"Center-West","Rural"
13549,"Center-West","Rural"
12231,"Center-West","Rural"
12613,"Center-West","Rural"
12434,"Center-West","Rural"
12238,"Center-West","Rural"
12348,"Center-West","Rural"
12007,"Center-West","Rural"
13029,"Center-West","Rural"
12239,"Center-West","Rural"
12634,"Center-West","Rural"
13150,"Center-West","Rural"
13518,"Center-West","Rural"
12487,"Center-West","Rural"
12026,"Center-West","Rural"
12490,"Center-West","Rural"
13241,"Center-West","Rural"
12008,"Center-West","Rural"
12307,"Center-West","Rural"
12130,"Center-West","Rural"
12046,"Center-West","Rural"
12157,"Center-West","Rural"
12279,"Center-West","Rural"
12346,"Center-West","Rural"
12306,"Center-West","Rural"
13013,"Center-West","Rural"
12222,"Center-West","Rural"
12439,"Center-West","Rural"
12448,"Center-West","Rural"
12280,"Center-West","Rural"
12449,"Center-West","Rural"
13120,"Center-West","Rural"
12217,"Center-West","Rural"
12056,"Center-West","Rural"
13105,"Center-West","Rural"
12057,"Center-West","Rural"
12360,"Center-West","Rural"
12620,"Center-West","Rural"
12359,"Center-West","Rural"
12572,"Center-West","Rural"
12333,"Center-West","Rural"
13011,"Center-West","Rural"
12481,"Center-West","Rural"
13537,"Center-West","Rural"
12290,"Center-West","Rural"
12305,"Center-West","Rural"
13063,"Center-West","Rural"
12223,"Center-West","Rural"
12642,"Center-West","Rural"
13129,"Center-West","Rural"
12463,"Center-West","Rural"
12349,"Center-West","Rural"
13035,"Center-West","Rural"
12058,"Center-West","Rural"
12402,"Center-West","Rural"
12159,"Center-West","Rural"
13036,"Center-West","Rural"
12160,"Center-West","Rural"
13039,"Center-West","Rural"
12551,"Center-West","Rural"
12552,"Center-West","Rural"
12553,"Center-West","Rural"
12241,"Center-West","Rural"
12289,"Center-West","Rural"
12358,"Center-West","Rural"
12606,"Center-West","Rural"
12342,"Center-West","Rural"
12013,"Center-West","Rural"
12320,"Center-West","Rural"
12456,"Center-West","Rural"
12054,"Center-West","Rural"
13545,"Center-West","Rural"
13046,"Center-West","Rural"
13140,"Center-West","Rural"
13536,"Center-West","Rural"
13144,"Center-West","Rural"
12330,"Center-West","Rural"
12247,"Center-West","Rural"
12350,"Center-West","Rural"
13118,"Center-West","Rural"
12457,"Center-West","Rural"
13045,"Center-West","Rural"
13228,"Center-West","Rural"
12253,"Center-West","Rural"
13049,"Center-West","Rural"
12627,"Center-West","Rural"
12161,"Center-West","Rural"
12059,"Center-West","Rural"
12431,"Center-West","Rural"
13516,"Center-West","Rural"
12458,"Center-West","Rural"
12351,"Center-West","Rural"
13242,"Center-West","Rural"
12425,"Center-West","Rural"
12625,"Center-West","Rural"
12162,"Center-West","Rural"
13551,"Center-West","Rural"
12047,"Center-West","Rural"
12132,"Center-West","Rural"
12266,"Center-West","Rural"
12225,"Center-West","Rural"
13534,"Center-West","Rural"
12281,"Center-West","Rural"
13110,"Center-West","Rural"
12621,"Center-West","Rural"
13138,"Center-West","Rural"
12554,"Center-West","Rural"
13010,"Center-West","Rural"
12445,"Center-West","Rural"
12011,"Center-West","Rural"
13505,"Center-West","Rural"
13222,"Center-West","Rural"
12018,"Center-West","Rural"
12009,"Center-West","Rural"
12115,"Center-West","Rural"
12555,"Center-West","Rural"
13044,"Center-West","Rural"
12261,"Center-West","Rural"
12260,"Center-West","Rural"
13245,"Center-West","Rural"
12122,"Center-West","Rural"
13217,"Center-West","Rural"
13154,"Center-West","Rural"
12491,"Center-West","Rural"
12556,"Center-West","Rural"
12623,"Center-West","Rural"
13043,"Center-West","Rural"
13531,"Center-West","Rural"
12352,"Center-West","Rural"
12489,"Center-West","Rural"
12557,"Center-West","Rural"
13507,"Center-West","Rural"
12478,"Center-West","Rural"
12353,"Center-West","Rural"
12558,"Center-West","Rural"
12166,"Center-West","Rural"
12267,"Center-West","Rural"
12462,"Center-West","Rural"
12469,"Center-West","Rural"
12164,"Center-West","Rural"
12165,"Center-West","Rural"
12023,"Center-West","Rural"
12459,"Center-West","Rural"
12246,"Center-West","Rural"
13535,"Center-West","Rural"
12288,"Center-West","Rural"
12455,"Center-West","Rural"
13025,"Center-West","Rural"
12513,"Center-West","Rural"
12310,"Center-West","Rural"
13051,"Center-West","Rural"
12315,"Center-West","Rural"
12471,"Center-West","Rural"
13139,"Center-West","Rural"
12312,"Center-West","Rural"
12331,"Center-West","Rural"
12559,"Center-West","Rural"
13146,"Center-West","Rural"
13052,"Center-West","Rural"
12444,"Center-West","Rural"
12016,"Center-West","Rural"
12144,"Center-West","Rural"
12432,"Center-West","Rural"
12643,"Center-West","Rural"
12354,"Center-West","Rural"
12324,"Center-West","Rural"
12060,"Center-West","Rural"
12512,"Center-West","Rural"
12468,"Center-West","Rural"
12560,"Center-West","Rural"
12532,"Center-West","Rural"
12640,"Center-West","Rural"
13053,"Center-West","Rural"
13525,"Center-West","Rural"
12021,"Center-West","Rural"
13508,"Center-West","Rural"
12633,"Center-West","Rural"
12141,"Center-West","Rural"
12484,"Center-West","Rural"
12470,"Center-West","Rural"
12269,"Center-West","Rural"
12485,"Center-West","Rural"
12610,"Center-West","Rural"
13533,"Center-West","Rural"
12126,"Center-West","Rural"
12255,"Center-West","Rural"
12270,"Center-West","Rural"
12430,"Center-West","Rural"
13022,"Center-West","Rural"
12282,"Center-West","Rural"
12268,"Center-West","Rural"
13413,"Center-West","Rural"
12044,"Center-West","Rural"
12027,"Center-West","Rural"
13122,"Center-West","Rural"
12167,"Center-West","Rural"
13133,"Center-West","Rural"
12051,"Center-West","Rural"
12619,"Center-West","Rural"
13417,"Center-West","Rural"
12515,"Center-West","Rural"
13015,"Center-West","Rural"
12472,"Center-West","Rural"
12168,"Center-West","Rural"
13421,"Center-West","Rural"
12322,"Center-West","Rural"
13214,"Center-West","Rural"
12052,"Center-West","Rural"
12525,"Center-West","Rural"
13131,"Center-West","Rural"
13546,"Center-West","Rural"
12561,"Center-West","Rural"
12524,"Center-West","Rural"
13209,"Center-West","Rural"
13054,"Center-West","Rural"
12121,"Center-West","Rural"
13513,"Center-West","Rural"
12271,"Center-West","Rural"
12473,"Center-West","Rural"
12061,"Center-West","Rural"
13055,"Center-West","Rural"
12283,"Center-West","Rural"
12020,"Center-West","Rural"
12169,"Center-West","Rural"
12562,"Center-West","Rural"
12420,"Center-West","Rural"
12025,"Center-West","Rural"
12272,"Center-West","Rural"
13056,"Center-West","Rural"
12170,"Center-West","Rural"
12134,"Center-West","Rural"
12171,"Center-West","Rural"
12510,"Center-West","Rural"
12563,"Center-West","Rural"
12474,"Center-West","Rural"
12564,"Center-West","Rural"
12345,"Center-West","Rural"
13260,"Center-West","Rural"
12460,"Center-West","Rural"
12062,"Center-West","Rural"
13510,"Center-West","Rural"
12435,"Center-West","Rural"
13223,"Center-West","Rural"
12172,"Center-West","Rural"
13220,"Center-West","Rural"
12028,"Center-West","Rural"
12024,"Center-West","Rural"
12429,"Center-West","Rural"
13057,"Center-West","Rural"
12131,"Center-West","Rural"
12323,"Center-West","Rural"
13116,"Center-West","Rural"
12273,"Center-West","Rural"
12571,"Center-West","Rural"
13540,"Center-West","Rural"
13058,"Center-West","Rural"
13059,"Center-West","Rural"
12173,"Center-West","Rural"
12274,"Center-West","Rural"
12029,"Center-West","Rural"
13520,"Center-West","Rural"
12275,"Center-West","Rural"
12630,"Center-West","Rural"
12609,"Center-West","Rural"
12565,"Center-West","Rural"
12035,"Center-West","Rural"
13060,"Center-West","Rural"
12250,"Center-West","Rural"
12566,"Center-West","Rural"
12567,"Center-West","Rural"
12477,"Center-West","Rural"
13014,"Center-West","Rural"
12063,"Center-West","Rural"
12438,"Center-West","Rural"
12012,"Center-West","Rural"
12064,"Center-West","Rural"
12174,"Center-West","Rural"
12243,"Center-West","Rural"
12175,"Center-West","Rural"
12535,"Center-West","Rural"
13061,"Center-West","Rural"
13237,"Center-West","Rural"
12065,"Center-West","Rural"
12355,"Center-West","Rural"
12356,"Center-West","Rural"
12516,"Center-West","Rural"
12037,"Center-West","Rural"
13106,"Center-West","Rural"
12176,"Center-West","Rural"
13062,"Center-West","Rural"
13509,"Center-West","Rural"
12069,"Center-West","Rural"
12113,"Center-West","Rural"
13023,"Center-West","Rural"
12177,"Center-West","Rural"
12043,"Center-West","Rural"
12357,"Center-West","Rural"
12032,"Center-West","Rural"
12014,"Center-West","Rural"
12066,"Center-West","Rural"
13238,"Center-West","Rural"
13020,"Center-West","Rural"
13218,"Center-West","Rural"
12614,"Center-West","Rural"
12608,"Center-West","Rural"
13012,"Center-West","Urban"
12213,"Center-West","Urban"
12601,"Center-West","Urban"
13246,"Center-West","Urban"
13240,"Center-West","Urban"
12325,"Center-West","Urban"
12265,"Center-West","Urban"
12442,"Center-West","Urban"
13514,"Center-West","Urban"
13515,"Center-West","Urban"
13101,"Center-West","Urban"
13033,"Center-West","Urban"
12114,"Center-West","Urban"
12441,"Center-West","Urban"
12443,"Center-West","Urban"
13501,"Center-West","Urban"
12001,"Center-West","Urban"
13001,"Center-West","Urban"
12101,"Center-West","Urban"
12301,"Center-West","Urban"
13527,"Center-West","Rural"
13506,"Center-West","Rural"
12030,"Center-West","Rural"
13419,"Center-West","Rural"
13539,"Center-West","Rural"
12645,"Center-West","Rural"
12135,"Center-West","Rural"
11501,"Center-West","Urban"
11502,"Center-West","Urban"
11503,"Center-West","Urban"
11504,"Center-West","Urban"
11505,"Center-West","Urban"
11506,"Center-West","Urban"
11507,"Center-West","Urban"
11508,"Center-West","Urban"
11509,"Center-West","Urban"
11510,"Center-West","Urban"
11512,"Center-West","Urban"
11601,"Center-West","Urban"
11602,"Center-West","Urban"
11603,"Center-West","Urban"
11604,"Center-West","Urban"
11101,"Center-West","Urban"
11102,"Center-West","Urban"
11106,"Center-West","Urban"
11001,"Center-West","Urban"
11002,"Center-West","Urban"
11062,"Center-West","Rural"
11108,"Center-West","Rural"
11029,"Center-West","Rural"
11435,"Center-West","Rural"
11452,"Center-West","Rural"
11924,"Center-West","Rural"
11618,"Center-West","Rural"
11624,"Center-West","Rural"
11912,"Center-West","Rural"
12904,"Center-West","Rural"
11038,"Center-West","Rural"
11139,"Center-West","Rural"
11650,"Center-West","Rural"
11561,"Center-West","Rural"
12923,"Center-West","Rural"
11339,"Center-West","Rural"
11532,"Center-West","Rural"
11521,"Center-West","Rural"
11124,"Center-West","Rural"
11606,"Center-West","Rural"
11142,"Center-West","Rural"
11564,"Center-West","Rural"
11113,"Center-West","Rural"
11055,"Center-West","Rural"
11570,"Center-West","Rural"
11925,"Center-West","Rural"
11314,"Center-West","Rural"
11323,"Center-West","Rural"
11159,"Center-West","Rural"
11430,"Center-West","Rural"
11027,"Center-West","Rural"
12906,"Center-West","Rural"
11152,"Center-West","Rural"
11153,"Center-West","Rural"
11562,"Center-West","Rural"
11556,"Center-West","Rural"
11454,"Center-West","Rural"
11326,"Center-West","Rural"
11456,"Center-West","Rural"
11064,"Center-West","Rural"
11619,"Center-West","Rural"
11631,"Center-West","Rural"
11342,"Center-West","Rural"
11653,"Center-West","Rural"
12903,"Center-West","Rural"
11608,"Center-West","Rural"
11039,"Center-West","Rural"
11522,"Center-West","Rural"
12921,"Center-West","Rural"
11161,"Center-West","Rural"
11150,"Center-West","Rural"
11117,"Center-West","Rural"
11331,"Center-West","Rural"
11157,"Center-West","Rural"
11352,"Center-West","Rural"
12917,"Center-West","Rural"
11455,"Center-West","Rural"
11164,"Center-West","Rural"
11063,"Center-West","Rural"
11137,"Center-West","Rural"
11935,"Center-West","Rural"
11572,"Center-West","Rural"
11942,"Center-West","Rural"
11554,"Center-West","Rural"
11558,"Center-West","Rural"
11449,"Center-West","Rural"
12902,"Center-West","Rural"
11110,"Center-West","Rural"
11611,"Center-West","Rural"
11589,"Center-West","Rural"
11609,"Center-West","Rural"
11617,"Center-West","Rural"
11416,"Center-West","Rural"
11616,"Center-West","Rural"
11118,"Center-West","Rural"
11315,"Center-West","Rural"
12807,"Center-West","Rural"
11527,"Center-West","Rural"
11655,"Center-West","Rural"
11690,"Center-West","Rural"
11432,"Center-West","Rural"
11138,"Center-West","Rural"
11645,"Center-West","Rural"
11404,"Center-West","Rural"
11940,"Center-West","Rural"
11115,"Center-West","Rural"
11338,"Center-West","Rural"
11640,"Center-West","Rural"
11450,"Center-West","Rural"
12914,"Center-West","Rural"
11651,"Center-West","Rural"
11125,"Center-West","Rural"
11560,"Center-West","Rural"
