"outcode","Urbanity.outcode","Region.outcode"
"PH39","Rural","Northern UK"
"PH4","Rural","Northern UK"
"PH40","Rural","Northern UK"
"PH41","Rural","Northern UK"
"PH42","Rural","Northern UK"
"PH43","Rural","Northern UK"
"PH44","Rural","Northern UK"
"PH49","Rural","Northern UK"
"PH5","Rural","Northern UK"
"PH50","Rural","Northern UK"
"PH6","Rural","Northern UK"
"PH7","Rural","Northern UK"
"PH8","Rural","Northern UK"
"PH9","Rural","Northern UK"
"PL1","City_Town","Southern England"
"PL10","Rural","Southern England"
"PL11","Rural","Southern England"
"PL12","City_Town","Southern England"
"PL13","Rural","Southern England"
"PL14","Rural","Southern England"
"PL15","Rural","Southern England"
"PL16","Rural","Southern England"
"PL17","Rural","Southern England"
"PL18","Rural","Southern England"
"PL19","City_Town","Southern England"
"PL2","City_Town","Southern England"
"PL20","Rural","Southern England"
"PL21","City_Town","Southern England"
"PL22","Rural","Southern England"
"PL23","Rural","Southern England"
"PL24","Rural","Southern England"
"PL25","City_Town","Southern England"
"PL26","Rural","Southern England"
"PL27","Rural","Southern England"
"PL28","Rural","Southern England"
"PL29","Rural","Southern England"
"PL3","City_Town","Southern England"
"PL30","Rural","Southern England"
"PL31","City_Town","Southern England"
"PL32","Rural","Southern England"
"PL33","Rural","Southern England"
"PL34","Rural","Southern England"
"PL35","Rural","Southern England"
"PL4","City_Town","Southern England"
"PL5","City_Town","Southern England"
"PL6","City_Town","Southern England"
"PL7","City_Town","Southern England"
"PL8","Rural","Southern England"
"PL9","City_Town","Southern England"
"PL95","City_Town","Southern England"
"PO1","City_Town","Southern England"
"PO10","City_Town","Southern England"
"PO11","City_Town","Southern England"
"PO12","City_Town","Southern England"
"PO13","City_Town","Southern England"
"PO14","City_Town","Southern England"
"PO15","City_Town","Southern England"
"PO16","City_Town","Southern England"
"PO17","Rural","Southern England"
"PO18","Rural","Southern England"
"PO19","City_Town","Southern England"
"PO2","City_Town","Southern England"
"PO20","Rural","Southern England"
"PO21","City_Town","Southern England"
"PO22","City_Town","Southern England"
"PO3","City_Town","Southern England"
"PO30","City_Town","Southern England"
"PO31","City_Town","Southern England"
"PO32","City_Town","Southern England"
"PO33","City_Town","Southern England"
"PO34","City_Town","Southern England"
"PO35","Rural","Southern England"
"PO36","City_Town","Southern England"
"PO37","City_Town","Southern England"
"PO38","Rural","Southern England"
"PO39","Rural","Southern England"
"PO4","City_Town","Southern England"
"PO40","Rural","Southern England"
"PO41","Rural","Southern England"
"PO5","City_Town","Southern England"
"PO6","City_Town","Southern England"
"PO7","City_Town","Southern England"
"PO8","City_Town","Southern England"
"PO9","City_Town","Southern England"
"PR0","City_Town","Northern England"
"PR1","City_Town","Northern England"
"PR11","City_Town","Northern England"
"PR2","City_Town","Northern England"
"PR25","City_Town","Northern England"
"PR26","City_Town","Northern England"
"PR3","Rural","Northern England"
"PR4","City_Town","Northern England"
"PR5","City_Town","Northern England"
"PR6","City_Town","Northern England"
"PR7","City_Town","Northern England"
"PR8","City_Town","Northern England"
"PR9","City_Town","Northern England"
"RG1","City_Town","Southern England"
"RG10","Rural","Southern England"
"RG11","Rural","Southern England"
"RG12","City_Town","Southern England"
"RG13","Rural","Southern England"
"RG14","City_Town","Southern England"
"RG15","Rural","Southern England"
"RG16","Rural","Southern England"
"RG17","Rural","Southern England"
"RG18","City_Town","Southern England"
"RG19","City_Town","Southern England"
"RG2","City_Town","Southern England"
"RG20","Rural","Southern England"
"RG21","City_Town","Southern England"
"RG22","City_Town","Southern England"
"RG23","City_Town","Southern England"
"RG24","City_Town","Southern England"
"RG25","Rural","Southern England"
"RG26","City_Town","Southern England"
"RG27","Rural","Southern England"
"RG28","Rural","Southern England"
"RG29","Rural","Southern England"
"RG3","Rural","Southern England"
"RG30","City_Town","Southern England"
"RG31","City_Town","Southern England"
"RG4","City_Town","Southern England"
"RG40","City_Town","Southern England"
"RG41","City_Town","Southern England"
"RG42","City_Town","Southern England"
"RG45","City_Town","Southern England"
"RG5","City_Town","Southern England"
"RG6","City_Town","Southern England"
"RG7","Rural","Southern England"
"RG8","Rural","Southern England"
"RG9","City_Town","Southern England"
"RH1","City_Town","Southern England"
"RH10","City_Town","Southern England"
"RH11","City_Town","Southern England"
"RH12","City_Town","Southern England"
"RH13","Rural","Southern England"
"RH14","Rural","Southern England"
"RH15","City_Town","Southern England"
"RH16","City_Town","Southern England"
"RH17","Rural","Southern England"
"RH18","City_Town","Southern England"
"RH19","City_Town","Southern England"
"RH2","City_Town","Southern England"
"RH20","Rural","Southern England"
"RH3","Rural","Southern England"
"RH4","City_Town","Southern England"
"RH5","Rural","Southern England"
"RH6","City_Town","Southern England"
"RH7","Rural","Southern England"
"RH77","City_Town","Southern England"
"RH8","City_Town","Southern England"
"RH9","Rural","Southern England"
"RM1","Large_urban","London"
"RM10","Large_urban","London"
"RM11","Large_urban","London"
"RM12","Large_urban","London"
"RM13","Large_urban","London"
"RM14","Large_urban","London"
"RM15","Large_urban","Southern England"
"RM16","Large_urban","Southern England"
"RM17","Large_urban","Southern England"
"RM18","Large_urban","Southern England"
"RM19","Large_urban","Southern England"
"RM2","Large_urban","London"
"RM20","Large_urban","Southern England"
"RM3","Large_urban","London"
"RM4","Rural","Southern England"
"RM5","Large_urban","London"
"RM50","Large_urban","London"
"RM6","Large_urban","London"
"RM7","Large_urban","London"
"RM8","Large_urban","London"
"RM9","Large_urban","London"
"S1","Large_urban","Northern England"
"S10","Large_urban","Northern England"
"S11","Large_urban","Northern England"
"S12","Large_urban","Northern England"
"S13","Large_urban","Northern England"
"S14","Large_urban","Northern England"
"S17","Large_urban","Northern England"
"S18","Large_urban","Central UK"
"S19","Rural","Central UK"
"S2","Large_urban","Northern England"
"S20","Large_urban","Northern England"
"S21","Large_urban","Central UK"
"S25","City_Town","Northern England"
"S26","Large_urban","Northern England"
"S3","Large_urban","Northern England"
"S30","Rural","Central UK"
"S31","Rural","Central UK"
"S32","Rural","Central UK"
"S33","Rural","Central UK"
"S35","Large_urban","Northern England"
"S36","City_Town","Northern England"
"S4","Large_urban","Northern England"
"S40","City_Town","Central UK"
"S41","City_Town","Central UK"
"S42","City_Town","Central UK"
"S43","City_Town","Central UK"
"S44","City_Town","Central UK"
"S45","City_Town","Central UK"
"S49","City_Town","Central UK"
"S5","Large_urban","Northern England"
"S6","Large_urban","Northern England"
"S60","Large_urban","Northern England"
"S61","Large_urban","Northern England"
"S62","Large_urban","Northern England"
"S63","Large_urban","Northern England"
"S64","Large_urban","Northern England"
"S65","Large_urban","Northern England"
"S66","Large_urban","Northern England"
"S7","Large_urban","Northern England"
"S70","Large_urban","Northern England"
"S71","Large_urban","Northern England"
"S72","Rural","Northern England"
"S73","Large_urban","Northern England"
"S74","Large_urban","Northern England"
"S75","Large_urban","Northern England"
"S8","Large_urban","Northern England"
"S80","City_Town","Central UK"
"S81","City_Town","Central UK"
"S9","Large_urban","Northern England"
"S95","Large_urban","Northern England"
"S96","Large_urban","Northern England"
"S97","Large_urban","Northern England"
"S98","Large_urban","Northern England"
"S99","Large_urban","Northern England"
"SA1","City_Town","Central UK"
"SA10","City_Town","Central UK"
"SA11","City_Town","Central UK"
"SA12","City_Town","Central UK"
"SA13","City_Town","Central UK"
"SA14","City_Town","Central UK"
"SA15","City_Town","Central UK"
"SA16","Rural","Central UK"
"SA17","Rural","Central UK"
"SA18","Rural","Central UK"
"SA19","Rural","Central UK"
"SA2","City_Town","Central UK"
"SA20","Rural","Central UK"
"SA3","City_Town","Central UK"
"SA31","City_Town","Central UK"
"SA32","Rural","Central UK"
"SA33","Rural","Central UK"
"SA34","Rural","Central UK"
"SA35","Rural","Central UK"
"SA36","Rural","Central UK"
"SA37","Rural","Central UK"
"SA38","Rural","Central UK"
"SA39","Rural","Central UK"
"SA4","City_Town","Central UK"
"SA40","Rural","Central UK"
"SA41","Rural","Central UK"
"SA42","Rural","Central UK"
"SA43","Rural","Central UK"
"SA44","Rural","Central UK"
"SA45","Rural","Central UK"
"SA46","Rural","Central UK"
"SA47","Rural","Central UK"
"SA48","Rural","Central UK"
"SA5","City_Town","Central UK"
"SA6","City_Town","Central UK"
"SA61","City_Town","Central UK"
"SA62","Rural","Central UK"
"SA63","Rural","Central UK"
"SA64","Rural","Central UK"
"SA65","Rural","Central UK"
"SA66","Rural","Central UK"
"SA67","Rural","Central UK"
"SA68","Rural","Central UK"
"SA69","Rural","Central UK"
"SA7","City_Town","Central UK"
"SA70","Rural","Central UK"
"SA71","Rural","Central UK"
"SA72","Rural","Central UK"
"SA73","City_Town","Central UK"
"SA8","City_Town","Central UK"
"SA80","City_Town","Central UK"
"SA9","City_Town","Central UK"
"SA99","City_Town","Central UK"
"SE1","Large_urban","London"
"SE10","Large_urban","London"
"SE11","Large_urban","London"
"SE12","Large_urban","London"
"SE13","Large_urban","London"
"SE14","Large_urban","London"
"SE15","Large_urban","London"
"SE16","Large_urban","London"
"SE17","Large_urban","London"
"SE18","Large_urban","London"
"SE19","Large_urban","London"
"SE1P","Large_urban","London"
"SE2","Large_urban","London"
"SE20","Large_urban","London"
"SE21","Large_urban","London"
"SE22","Large_urban","London"
"SE23","Large_urban","London"
"SE24","Large_urban","London"
"SE25","Large_urban","London"
"SE26","Large_urban","London"
"SE27","Large_urban","London"
"SE28","Large_urban","London"
"SE3","Large_urban","London"
"SE4","Large_urban","London"
"SE5","Large_urban","London"
"SE6","Large_urban","London"
"SE7","Large_urban","London"
"SE8","Large_urban","London"
"SE9","Large_urban","London"
"SE99","Large_urban","London"
"SG1","City_Town","Southern England"
"SG10","Rural","Southern England"
"SG11","Rural","Southern England"
"SG12","City_Town","Southern England"
"SG13","City_Town","Southern England"
"SG14","City_Town","Southern England"
"SG15","Rural","Southern England"
"SG16","Rural","Southern England"
"SG17","City_Town","Southern England"
"SG18","City_Town","Southern England"
"SG19","Rural","Southern England"
"SG2","City_Town","Southern England"
"SG3","Rural","Southern England"
"SG4","City_Town","Southern England"
"SG5","City_Town","Southern England"
"SG6","City_Town","Southern England"
"SG7","City_Town","Southern England"
"SG8","Rural","Southern England"
"SG9","Rural","Southern England"
"SK1","Large_urban","Northern England"
"SK10","City_Town","Northern England"
"SK11","City_Town","Northern England"
"SK12","Large_urban","Northern England"
"SK13","Large_urban","Central UK"
"SK14","Large_urban","Northern England"
"SK15","Large_urban","Northern England"
"SK16","Large_urban","Northern England"
"SK17","City_Town","Central UK"
"SK2","Large_urban","Northern England"
"SK22","City_Town","Central UK"
"SK23","Rural","Central UK"
"SK3","Large_urban","Northern England"
"SK4","Large_urban","Northern England"
"SK5","Large_urban","Northern England"
"SK6","Large_urban","Northern England"
"SK7","Large_urban","Northern England"
"SK8","Large_urban","Northern England"
"SK9","Large_urban","Northern England"
"SL0","Rural","Southern England"
"SL1","City_Town","Southern England"
"SL2","City_Town","Southern England"
"SL3","City_Town","Southern England"
"SL4","City_Town","Southern England"
"SL5","City_Town","Southern England"
"SL6","City_Town","Southern England"
"SL60","City_Town","Southern England"
"SL7","City_Town","Southern England"
"SL8","City_Town","Southern England"
"SL9","City_Town","Southern England"
"SL95","City_Town","Southern England"
"SM1","Large_urban","London"
"SM2","Large_urban","London"
"SM3","Large_urban","London"
"SM4","Large_urban","London"
"SM5","Large_urban","London"
"SM6","Large_urban","London"
"SM7","Large_urban","Southern England"
"SN1","City_Town","Southern England"
"SN10","City_Town","Southern England"
"SN11","City_Town","Southern England"
"SN12","City_Town","Southern England"
"SN13","City_Town","Southern England"
"SN14","City_Town","Southern England"
"SN15","City_Town","Southern England"
"SN16","Rural","Southern England"
"SN17","City_Town","Southern England"
"SN2","City_Town","Southern England"
"SN25","City_Town","Southern England"
"SN26","City_Town","Southern England"
"SN3","City_Town","Southern England"
"SN38","City_Town","Southern England"
"SN4","Rural","Southern England"
"SN5","City_Town","Southern England"
"SN6","Rural","Southern England"
"SN7","Rural","Southern England"
"SN8","Rural","Southern England"
"SN9","Rural","Southern England"
"SN99","City_Town","Southern England"
"SO1","Rural","Southern England"
"SO14","City_Town","Southern England"
"SO15","City_Town","Southern England"
"SO16","City_Town","Southern England"
"SO17","City_Town","Southern England"
"SO18","City_Town","Southern England"
"SO19","City_Town","Southern England"
"SO2","Rural","Southern England"
"SO20","Rural","Southern England"
"SO21","Rural","Southern England"
"SO22","City_Town","Southern England"
"SO23","City_Town","Southern England"
"SO24","Rural","Southern England"
"SO25","City_Town","Southern England"
"SO3","Rural","Southern England"
"SO30","City_Town","Southern England"
"SO31","City_Town","Southern England"
"SO32","Rural","Southern England"
"SO4","Rural","Southern England"
"SO40","City_Town","Southern England"
"SO41","City_Town","Southern England"
"SO42","Rural","Southern England"
"SO43","Rural","Southern England"
"SO45","City_Town","Southern England"
"SO5","Rural","Southern England"
"SO50","City_Town","Southern England"
"SO51","City_Town","Southern England"
"SO52","Rural","Southern England"
"SO53","City_Town","Southern England"
"SO9","City_Town","Southern England"
"SO97","City_Town","Southern England"
"SP1","City_Town","Southern England"
"SP10","City_Town","Southern England"
"SP11","Rural","Southern England"
"SP2","City_Town","Southern England"
"SP3","Rural","Southern England"
"SP4","Rural","Southern England"
"SP5","Rural","Southern England"
"SP6","Rural","Southern England"
"SP7","Rural","Southern England"
"SP8","City_Town","Southern England"
"SP9","Rural","Southern England"
"SR1","Large_urban","Northern England"
"SR2","Large_urban","Northern England"
"SR3","Large_urban","Northern England"
"SR4","Large_urban","Northern England"
"SR43","Large_urban","Northern England"
"SR5","Large_urban","Northern England"
"SR6","Large_urban","Northern England"
"SR7","City_Town","Northern England"
"SR8","City_Town","Northern England"
"SR88","City_Town","Northern England"
"SR9","Large_urban","Northern England"
"SS0","City_Town","Southern England"
"SS1","City_Town","Southern England"
"SS11","City_Town","Southern England"
"SS12","City_Town","Southern England"
"SS13","City_Town","Southern England"
"SS14","City_Town","Southern England"
"SS15","City_Town","Southern England"
"SS16","City_Town","Southern England"
"SS17","City_Town","Southern England"
"SS2","City_Town","Southern England"
"SS22","Rural","Southern England"
"SS3","City_Town","Southern England"
"SS4","City_Town","Southern England"
"SS5","City_Town","Southern England"
"SS6","City_Town","Southern England"
"SS7","City_Town","Southern England"
"SS8","City_Town","Southern England"
"SS9","City_Town","Southern England"
"SS99","City_Town","Southern England"
"ST1","City_Town","Central UK"
"ST10","Rural","Central UK"
"ST11","City_Town","Central UK"
"ST12","Rural","Central UK"
"ST13","City_Town","Central UK"
"ST14","City_Town","Central UK"
"ST15","City_Town","Central UK"
"ST16","City_Town","Central UK"
"ST17","City_Town","Central UK"
"ST18","Rural","Central UK"
"ST19","Rural","Central UK"
"ST2","City_Town","Central UK"
"ST20","Rural","Central UK"
"ST21","Rural","Central UK"
"ST3","City_Town","Central UK"
"ST4","City_Town","Central UK"
"ST5","City_Town","Central UK"
"ST55","City_Town","Central UK"
"ST6","City_Town","Central UK"
"ST7","City_Town","Central UK"
"ST8","City_Town","Central UK"
"ST9","City_Town","Central UK"
"SW10","Large_urban","London"
"SW11","Large_urban","London"
"SW12","Large_urban","London"
"SW13","Large_urban","London"
"SW14","Large_urban","London"
"SW15","Large_urban","London"
"SW16","Large_urban","London"
"SW17","Large_urban","London"
"SW18","Large_urban","London"
"SW19","Large_urban","London"
"SW1A","Large_urban","London"
"SW1E","Large_urban","London"
"SW1H","Large_urban","London"
"SW1P","Large_urban","London"
"SW1V","Large_urban","London"
"SW1W","Large_urban","London"
"SW1X","Large_urban","London"
"SW1Y","Large_urban","London"
"SW2","Large_urban","London"
"SW20","Large_urban","London"
"SW3","Large_urban","London"
"SW4","Large_urban","London"
"SW5","Large_urban","London"
"SW6","Large_urban","London"
"SW7","Large_urban","London"
"SW8","Large_urban","London"
"SW9","Large_urban","London"
"SW95","Large_urban","London"
"SW99","Large_urban","London"
"SY1","City_Town","Central UK"
"SY10","Rural","Central UK"
"SY11","City_Town","Central UK"
"SY12","Rural","Central UK"
"SY13","Rural","Central UK"
"SY14","Rural","Northern England"
"SY15","Rural","Central UK"
"SY16","City_Town","Central UK"
"SY17","Rural","Central UK"
"SY18","Rural","Central UK"
"SY19","Rural","Central UK"
"SY2","City_Town","Central UK"
"SY20","Rural","Central UK"
"SY21","Rural","Central UK"
"SY22","Rural","Central UK"
"SY23","City_Town","Central UK"
"SY24","Rural","Central UK"
"SY25","Rural","Central UK"
"SY3","City_Town","Central UK"
"SY4","Rural","Central UK"
"SY5","Rural","Central UK"
"SY6","Rural","Central UK"
"SY7","Rural","Central UK"
"SY8","City_Town","Central UK"
"SY9","Rural","Central UK"
"SY99","City_Town","Central UK"
"TA1","City_Town","Southern England"
"TA10","Rural","Southern England"
"TA11","Rural","Southern England"
"TA12","Rural","Southern England"
"TA13","Rural","Southern England"
"TA14","Rural","Southern England"
"TA15","Rural","Southern England"
"TA16","Rural","Southern England"
"TA17","Rural","Southern England"
"TA18","Rural","Southern England"
"TA19","Rural","Southern England"
"TA2","City_Town","Southern England"
"TA20","City_Town","Southern England"
"TA21","City_Town","Southern England"
"TA22","Rural","Southern England"
"TA23","Rural","Southern England"
"TA24","City_Town","Southern England"
"TA3","Rural","Southern England"
"TA4","Rural","Southern England"
"TA5","Rural","Southern England"
"TA6","City_Town","Southern England"
"TA7","Rural","Southern England"
"TA8","City_Town","Southern England"
"TA9","City_Town","Southern England"
"TD1","Large_urban","Northern UK"
"TD10","Rural","Northern UK"
"TD11","Rural","Northern UK"
"TD12","Rural","Northern UK"
"TD13","Rural","Northern UK"
"TD14","Rural","Northern UK"
"TD15","City_Town","Northern England"
"TD2","Rural","Northern UK"
"TD3","Rural","Northern UK"
"TD4","Rural","Northern UK"
"TD5","Rural","Northern UK"
"TD6","Rural","Northern UK"
"TD7","Rural","Northern UK"
"TD8","Rural","Northern UK"
"TD9","Large_urban","Northern UK"
"TF1","City_Town","Central UK"
"TF10","City_Town","Central UK"
"TF11","Rural","Central UK"
"TF12","City_Town","Central UK"
"TF13","Rural","Central UK"
"TF2","City_Town","Central UK"
"TF3","City_Town","Central UK"
"TF4","City_Town","Central UK"
"TF5","City_Town","Central UK"
"TF6","Rural","Central UK"
"TF7","City_Town","Central UK"
"TF8","City_Town","Central UK"
"TF9","Rural","Central UK"
"TN1","City_Town","Southern England"
"TN10","City_Town","Southern England"
"TN11","Rural","Southern England"
"TN12","Rural","Southern England"
"TN13","City_Town","Southern England"
"TN14","Rural","Southern England"
"TN15","Rural","Southern England"
"TN16","City_Town","London"
"TN17","Rural","Southern England"
"TN18","Rural","Southern England"
"TN19","Rural","Southern England"
"TN2","City_Town","Southern England"
"TN20","Rural","Southern England"
"TN21","Rural","Southern England"
"TN22","City_Town","Southern England"
"TN23","City_Town","Southern England"
"TN24","City_Town","Southern England"
"TN25","Rural","Southern England"
"TN26","Rural","Southern England"
"TN27","Rural","Southern England"
"TN28","Rural","Southern England"
"TN29","Rural","Southern England"
"TN3","Rural","Southern England"
"TN30","Rural","Southern England"
"TN31","Rural","Southern England"
"TN32","Rural","Southern England"
"TN33","Rural","Southern England"
"TN34","City_Town","Southern England"
"TN35","City_Town","Southern England"
"TN36","Rural","Southern England"
"TN37","City_Town","Southern England"
"TN38","City_Town","Southern England"
"TN39","City_Town","Southern England"
"TN4","City_Town","Southern England"
"TN40","City_Town","Southern England"
"TN5","Rural","Southern England"
"TN6","City_Town","Southern England"
"TN7","Rural","Southern England"
"TN8","Rural","Southern England"
"TN9","City_Town","Southern England"
"TQ1","City_Town","Southern England"
"TQ10","Rural","Southern England"
"TQ11","Rural","Southern England"
"TQ12","City_Town","Southern England"
"TQ13","Rural","Southern England"
"TQ14","City_Town","Southern England"
"TQ2","City_Town","Southern England"
"TQ3","City_Town","Southern England"
"TQ4","City_Town","Southern England"
"TQ5","City_Town","Southern England"
"TQ6","Rural","Southern England"
"TQ7","Rural","Southern England"
"TQ8","Rural","Southern England"
"TQ9","Rural","Southern England"
"TR1","City_Town","Southern England"
"TR10","City_Town","Southern England"
"TR11","City_Town","Southern England"
"TR12","Rural","Southern England"
"TR13","City_Town","Southern England"
"TR14","City_Town","Southern England"
"TR15","City_Town","Southern England"
"TR16","Rural","Southern England"
"TR17","Rural","Southern England"
"TR18","City_Town","Southern England"
"TR19","Rural","Southern England"
"TR2","Rural","Southern England"
"TR20","Rural","Southern England"
"TR21","Rural","Southern England"
"TR22","Rural","Southern England"
"TR23","Rural","Southern England"
"TR24","Rural","Southern England"
"TR25","Rural","Southern England"
"TR26","Rural","Southern England"
"TR27","Rural","Southern England"
"TR3","Rural","Southern England"
"TR4","Rural","Southern England"
"TR5","Rural","Southern England"
"TR6","Rural","Southern England"
"TR7","City_Town","Southern England"
"TR8","Rural","Southern England"
"TR9","Rural","Southern England"
"TR93","Rural","Southern England"
"TS1","City_Town","Northern England"
"TS10","City_Town","Northern England"
"TS11","Rural","Northern England"
"TS12","Rural","Northern England"
"TS13","Rural","Northern England"
"TS14","City_Town","Northern England"
"TS15","City_Town","Northern England"
"TS16","City_Town","Northern England"
"TS17","City_Town","Northern England"
"TS18","City_Town","Northern England"
"TS19","City_Town","Northern England"
"TS2","City_Town","Northern England"
"TS20","City_Town","Northern England"
"TS21","Rural","Northern England"
"TS22","City_Town","Northern England"
"TS23","City_Town","Northern England"
"TS24","City_Town","Northern England"
"TS25","City_Town","Northern England"
"TS26","City_Town","Northern England"
"TS27","City_Town","Northern England"
"TS28","Rural","Northern England"
"TS29","Rural","Northern England"
"TS3","City_Town","Northern England"
"TS4","City_Town","Northern England"
"TS5","City_Town","Northern England"
"TS6","City_Town","Northern England"
"TS7","City_Town","Northern England"
"TS8","City_Town","Northern England"
"TS9","Rural","Northern England"
"TS90","City_Town","Northern England"
"TW1","Large_urban","London"
"TW10","Large_urban","London"
"TW11","Large_urban","London"
"TW12","Large_urban","London"
"TW13","Large_urban","London"
"TW14","Large_urban","London"
"TW15","Large_urban","Southern England"
"TW16","Large_urban","Southern England"
"TW17","Large_urban","Southern England"
"TW18","Large_urban","Southern England"
"TW19","Large_urban","Southern England"
"TW2","Large_urban","London"
"TW20","Large_urban","Southern England"
"TW3","Large_urban","London"
"TW4","Large_urban","London"
"TW5","Large_urban","London"
"TW6","City_Town","London"
"TW7","Large_urban","London"
"TW8","Large_urban","London"
"TW9","Large_urban","London"
"UB1","Large_urban","London"
"UB10","Large_urban","London"
"UB11","Large_urban","London"
"UB18","Large_urban","London"
"UB2","Large_urban","London"
"UB3","Large_urban","London"
"UB4","Large_urban","London"
"UB5","Large_urban","London"
"UB6","Large_urban","London"
"UB7","Large_urban","London"
"UB8","Large_urban","London"
"UB9","Rural","London"
"W1","Large_urban","London"
"W10","Large_urban","London"
"W11","Large_urban","London"
"W12","Large_urban","London"
"W13","Large_urban","London"
"W14","Large_urban","London"
"W1A","Large_urban","London"
"W1B","Large_urban","London"
"W1C","Large_urban","London"
"W1D","Large_urban","London"
"W1F","Large_urban","London"
"W1G","Large_urban","London"
"W1H","Large_urban","London"
"W1J","Large_urban","London"
"W1K","Large_urban","London"
"W1M","Large_urban","London"
"W1N","Large_urban","London"
"W1P","Large_urban","London"
"W1R","Large_urban","London"
"W1S","Large_urban","London"
"W1T","Large_urban","London"
"W1U","Large_urban","London"
"W1V","Large_urban","London"
"W1W","Large_urban","London"
"W1X","Large_urban","London"
"W1Y","Large_urban","London"
"W2","Large_urban","London"
"W3","Large_urban","London"
"W4","Large_urban","London"
"W5","Large_urban","London"
"W6","Large_urban","London"
"W7","Large_urban","London"
"W8","Large_urban","London"
"W9","Large_urban","London"
"WA1","City_Town","Northern England"
"WA10","Large_urban","Northern England"
"WA11","Large_urban","Northern England"
"WA12","Large_urban","Northern England"
"WA13","City_Town","Northern England"
"WA14","Large_urban","Northern England"
"WA15","Large_urban","Northern England"
"WA16","City_Town","Northern England"
"WA2","City_Town","Northern England"
"WA3","Large_urban","Northern England"
"WA4","City_Town","Northern England"
"WA5","City_Town","Northern England"
"WA55","City_Town","Northern England"
"WA6","Rural","Northern England"
"WA7","City_Town","Northern England"
"WA8","City_Town","Northern England"
"WA88","City_Town","Northern England"
"WA9","Large_urban","Northern England"
"WC1A","Large_urban","London"
"WC1B","Large_urban","London"
"WC1E","Large_urban","London"
"WC1H","Large_urban","London"
"WC1N","Large_urban","London"
"WC1R","Large_urban","London"
"WC1V","Large_urban","London"
"WC1X","Large_urban","London"
"WC2A","Large_urban","London"
"WC2B","Large_urban","London"
"WC2E","Large_urban","London"
"WC2H","Large_urban","London"
"WC2N","Large_urban","London"
"WC2R","Large_urban","London"
"WC99","Large_urban","London"
"WD1","Rural","Southern England"
"WD17","Large_urban","Southern England"
"WD18","Large_urban","Southern England"
"WD19","Large_urban","Southern England"
"WD2","Rural","London"
"WD23","Large_urban","Southern England"
"WD24","Large_urban","Southern England"
"WD25","Large_urban","Southern England"
"WD3","Large_urban","Southern England"
"WD4","Large_urban","Southern England"
"WD5","Large_urban","Southern England"
"WD6","Large_urban","Southern England"
"WD7","Rural","Southern England"
"WD99","Large_urban","Southern England"
"WF1","Large_urban","Northern England"
"WF10","City_Town","Northern England"
"WF11","City_Town","Northern England"
"WF12","Large_urban","Northern England"
"WF13","Large_urban","Northern England"
"WF14","Large_urban","Northern England"
"WF15","Large_urban","Northern England"
"WF16","Large_urban","Northern England"
"WF17","Large_urban","Northern England"
"WF2","Large_urban","Northern England"
"WF3","Large_urban","Northern England"
"WF4","Rural","Northern England"
"WF5","Large_urban","Northern England"
"WF6","City_Town","Northern England"
"WF7","City_Town","Northern England"
"WF8","City_Town","Northern England"
"WF9","Rural","Northern England"
"WF90","Large_urban","Northern England"
"WN1","Large_urban","Northern England"
"WN2","Large_urban","Northern England"
"WN3","Large_urban","Northern England"
"WN4","Large_urban","Northern England"
"WN5","Large_urban","Northern England"
"WN6","Large_urban","Northern England"
"WN7","Large_urban","Northern England"
"WN8","Large_urban","Northern England"
"WR1","City_Town","Central UK"
"WR10","Rural","Central UK"
"WR11","City_Town","Central UK"
"WR12","Rural","Central UK"
"WR13","Rural","Central UK"
"WR14","City_Town","Central UK"
"WR15","Rural","Central UK"
"WR2","City_Town","Central UK"
"WR3","City_Town","Central UK"
"WR4","City_Town","Central UK"
"WR5","City_Town","Central UK"
"WR6","Rural","Central UK"
"WR7","Rural","Central UK"
"WR78","City_Town","Central UK"
"WR8","Rural","Central UK"
"WR9","City_Town","Central UK"
"WR99","City_Town","Central UK"
"WS1","Large_urban","Central UK"
"WS10","Large_urban","Central UK"
"WS11","Large_urban","Central UK"
"WS12","Large_urban","Central UK"
"WS13","City_Town","Central UK"
"WS14","City_Town","Central UK"
"WS15","City_Town","Central UK"
"WS2","Large_urban","Central UK"
"WS3","Large_urban","Central UK"
"WS4","Large_urban","Central UK"
"WS5","Large_urban","Central UK"
"WS6","Large_urban","Central UK"
"WS7","Large_urban","Central UK"
"WS8","Large_urban","Central UK"
"WS9","Large_urban","Central UK"
"WV1","Large_urban","Central UK"
"WV10","Large_urban","Central UK"
"WV11","Large_urban","Central UK"
"WV12","Large_urban","Central UK"
"WV13","Large_urban","Central UK"
"WV14","Large_urban","Central UK"
"WV15","Rural","Central UK"
"WV16","City_Town","Central UK"
"WV2","Large_urban","Central UK"
"WV3","Large_urban","Central UK"
"WV4","Large_urban","Central UK"
"WV5","Large_urban","Central UK"
"WV6","Large_urban","Central UK"
"WV7","Rural","Central UK"
"WV8","Large_urban","Central UK"
"WV9","Large_urban","Central UK"
"WV98","City_Town","Central UK"
"WV99","City_Town","Central UK"
"YO1","City_Town","Northern England"
"YO10","City_Town","Northern England"
"YO11","City_Town","Northern England"
"YO12","City_Town","Northern England"
"YO13","Rural","Northern England"
"YO14","Rural","Northern England"
"YO15","City_Town","Northern England"
"YO16","City_Town","Northern England"
"YO17","City_Town","Northern England"
"YO18","Rural","Northern England"
"YO19","Rural","Northern England"
