Code_Postal,zone
6750,Couronne_GP
6790,GP
6800,GP
6810,GP
6830,Couronne_GP
6850,Couronne_GP
6910,Couronne_GP
6950,GP
7000,Other
7100,GP
7110,GP
7110,Couronne_GP
7110,Other
7120,Other
7130,GP
7130,Couronne_GP
7140,Other
7150,Other
7160,Other
7170,Couronne_GP
7170,Other
7190,Other
7200,GP
7200,Couronne_GP
7200,Other
7210,Other
7220,Other
7220,Couronne_GP
7230,Couronne_GP
7230,GP
7230,Other
7240,Other
7250,Other
7260,GP
7260,Couronne_GP
7260,Other
7270,Other
7290,Couronne_GP
7290,Other
7300,Other
7300,GP
7300,Couronne_GP
7310,Other
7310,Other
7320,Other
7330,Couronne_GP
7330,Other
7340,Couronne_GP
7340,Other
7350,Other
7360,Other
7370,Other
7380,Couronne_GP
7380,GP
7400,Other
7400,GP
7400,Couronne_GP
7410,Other
7430,Couronne_GP
7430,GP
7440,Other
7440,Couronne_GP
7450,Other
7460,Other
7470,Other
7500,GP
7510,Other
7520,Other
7530,Couronne_GP
7530,Other
7560,Other
7570,Other
7580,Other
7590,Other
7600,Couronne_GP
7600,GP
7610,Other
7610,Couronne_GP
7630,Other
7660,Other
7690,Couronne_GP
7690,Other
7700,Other
7790,Couronne_GP
7800,Other
7800,Couronne_GP
8000,GP
8090,Couronne_GP
8090,GP
8110,Other
8120,Other
8130,Other
8140,Other
8140,GP
8140,Couronne_GP
8150,Couronne_GP
8160,Couronne_GP
8170,Other
8190,Couronne_GP
8200,GP
8200,Couronne_GP
8210,Other
8220,Other
8220,Couronne_GP
8230,Other
8230,Couronne_GP
8240,Other
8250,Other
8260,Other
8260,Couronne_GP
8270,Other
8270,Couronne_GP
8290,Other
8300,Other
8300,Couronne_GP
8310,Other
8310,Couronne_GP
8320,Other
8330,Other
8350,Couronne_GP
8350,Other
8360,Other
8360,Couronne_GP
8370,Other
8380,Other
8390,Other
8390,Couronne_GP
8400,Other
8410,Couronne_GP
8430,Couronne_GP
8440,Couronne_GP
8440,Other
8450,Other
8450,Couronne_GP
8460,Other
8460,Couronne_GP
8500,Couronne_GP
8500,Other
8600,Other
8700,Other
8700,Couronne_GP
8800,Other
9000,Other
9100,Other
9100,GP
9100,Couronne_GP
9110,Other
9120,Other
9120,Couronne_GP
9120,GP
9130,Other
9130,Couronne_GP
9140,Other
9160,Other
9190,Other
9200,Other
9210,Couronne_GP
9220,Other
9230,Other
9240,Other
9250,Other
9270,Other
9290,Other
9300,Other
9310,Other
9320,Other
9330,Other
9340,GP
9350,Other
9350,Couronne_GP
9390,Other
9400,Other
9420,Other
9460,Other
9500,Other
9600,Other
9700,Other
9700,Couronne_GP
9800,Other
10000,GP
10100,Other
10110,Other
10110,Couronne_GP
10120,GP
10120,Couronne_GP
10130,Other
10130,Couronne_GP
10140,Other
10140,Couronne_GP
10150,GP
10150,Couronne_GP
10160,Other
10160,Couronne_GP
10170,Other
10170,Couronne_GP
10180,Couronne_GP
10190,Couronne_GP
10200,Other
10210,Other
10210,Couronne_GP
10220,Couronne_GP
10230,Other
10240,Other
10240,Couronne_GP
10250,Other
10260,Other
10260,Couronne_GP
10270,Couronne_GP
10280,Couronne_GP
10290,Other
10290,Couronne_GP
10300,GP
10300,Couronne_GP
10310,Other
10320,Couronne_GP
10330,Other
10340,Other
10350,Other
10350,Couronne_GP
10360,Other
10370,Other
10380,Other
10390,GP
10390,Couronne_GP
10400,Other
10410,Couronne_GP
10410,GP
10420,GP
10430,GP
10440,GP
10440,Couronne_GP
10450,GP
10500,Other
10500,Couronne_GP
10510,Other
10600,GP
10600,Couronne_GP
10700,Other
10700,Couronne_GP
10800,Couronne_GP
10800,GP
11000,GP
11100,GP
11100,Couronne_GP
11110,Other
11110,Couronne_GP
11120,Other
11120,Couronne_GP
11130,Other
11140,Other
11150,Other
11160,Other
11160,Couronne_GP
11170,Other
11170,Couronne_GP
11190,Other
11200,Other
11200,Couronne_GP
11210,Other
11220,Other
11220,Couronne_GP
11230,Other
11240,Other
11250,Other
11250,Couronne_GP
11260,Other
11270,Other
11290,Couronne_GP
11290,Other
11300,Other
11310,Other
11310,Couronne_GP
11320,Other
11320,Couronne_GP
11330,Other
11340,Other
11350,Other
11360,Other
11370,Other
11380,Other
11380,Couronne_GP
11390,Other
11390,Couronne_GP
11400,Other
11410,Other
11410,Couronne_GP
11420,Other
11430,Other
11440,Couronne_GP
11480,Other
11490,Other
11500,Other
11510,Other
11540,Other
11560,Other
11570,Couronne_GP
11570,GP
11580,Other
11590,Couronne_GP
11600,Couronne_GP
11610,Couronne_GP
11620,Couronne_GP
11700,Other
11700,Couronne_GP
11800,Other
11800,Couronne_GP
12000,GP
12100,Other
12110,Other
12120,Other
12120,Couronne_GP
12130,Other
12140,Other
12150,Other
12160,Couronne_GP
12170,Other
12190,Other
12200,Other
12210,Other
12220,Other
12230,Other
12240,Other
12250,Other
12260,Other
12260,Couronne_GP
12270,Other
12290,Other
12290,Couronne_GP
12300,Other
12310,Other
12310,Couronne_GP
12320,Other
12320,Couronne_GP
12330,Couronne_GP
12340,Other
12340,Couronne_GP
12350,Other
12360,Other
12370,Other
12380,Other
12390,Other
12390,Couronne_GP
12400,Other
12410,Other
12420,Other
12430,Other
12440,Other
12450,GP
12450,Couronne_GP
12460,Other
12470,Other
12480,Other
12490,Other
12500,Other
12510,Couronne_GP
12510,GP
12520,Other
12540,Other
12550,Other
12560,Other
12580,Other
12580,Couronne_GP
12600,Other
12620,Other
12630,Couronne_GP
12640,Other
12700,GP
12700,Couronne_GP
12700,Other
12720,Other
12740,GP
12740,Couronne_GP
12780,Other
12800,Other
12800,Couronne_GP
12850,GP
12850,Couronne_GP
13001,GP
13002,GP
13003,GP
13004,GP
13005,GP
13006,GP
13007,GP
13008,GP
13009,GP
13010,GP
13011,GP
13012,GP
13013,GP
13014,GP
13015,GP
13016,GP
13080,GP
13100,GP
13100,Couronne_GP
13103,Other
13105,GP
13109,GP
13110,GP
13111,Couronne_GP
13112,GP
13113,Other
13114,Couronne_GP
13115,Other
13116,Other
13119,GP
13120,GP
13121,Other
13122,Couronne_GP
13124,GP
13126,Couronne_GP
13127,GP
13130,GP
13140,GP
13150,GP
13150,Other
13160,GP
13170,GP
13180,GP
13190,GP
13200,GP
13210,Other
13220,GP
13230,Other
13240,GP
13250,GP
13250,Couronne_GP
13260,Couronne_GP
13270,GP
13300,GP
13310,Other
13320,GP
13330,GP
13340,GP
13350,Other
13360,GP
13370,Other
13380,GP
13390,GP
13400,GP
13410,Couronne_GP
13420,GP
