"CAP","Urbanity.CAP","Region.quota"
6057,"Rural","Center"
6059,"Rural","Center"
6060,"Rural","Center"
6061,"Rural","Center"
6062,"Rural","Center"
6063,"Small_Cities","Center"
6064,"Rural","Center"
6065,"Rural","Center"
6066,"Rural","Center"
6069,"Rural","Center"
6073,"Small_Cities","Center"
6081,"Small_Cities","Center"
6083,"Small_Cities","Center"
6084,"Rural","Center"
6089,"Rural","Center"
7010,"Rural","Islands"
7011,"Rural","Islands"
7012,"Rural","Islands"
7013,"Rural","Islands"
7014,"Small_Cities","Islands"
7015,"Rural","Islands"
7016,"Rural","Islands"
7017,"Rural","Islands"
7018,"Rural","Islands"
7019,"Rural","Islands"
7020,"Rural","Islands"
7021,"Rural","Islands"
7022,"Rural","Islands"
7023,"Rural","Islands"
7024,"Rural","Islands"
7025,"Rural","Islands"
7026,"Small_Cities","Islands"
7027,"Rural","Islands"
7028,"Rural","Islands"
7029,"Rural","Islands"
7030,"Rural","Islands"
7031,"Rural","Islands"
7032,"Rural","Islands"
7033,"Rural","Islands"
7034,"Rural","Islands"
7035,"Rural","Islands"
7036,"Small_Cities","Islands"
7037,"Small_Cities","Islands"
7038,"Rural","Islands"
7039,"Rural","Islands"
7040,"Rural","Islands"
7041,"Small_Cities","Islands"
7043,"Rural","Islands"
7044,"Small_Cities","Islands"
7045,"Small_Cities","Islands"
7046,"Small_Cities","Islands"
7047,"Rural","Islands"
7048,"Rural","Islands"
7049,"Small_Cities","Islands"
7100,"Cities","Islands"
8010,"Rural","Islands"
8011,"Rural","Islands"
8012,"Rural","Islands"
8013,"Small_Cities","Islands"
8015,"Small_Cities","Islands"
8016,"Rural","Islands"
8017,"Rural","Islands"
8018,"Rural","Islands"
8019,"Rural","Islands"
8020,"Rural","Islands"
8021,"Rural","Islands"
8022,"Small_Cities","Islands"
8023,"Rural","Islands"
8024,"Rural","Islands"
8025,"Small_Cities","Islands"
8026,"Rural","Islands"
8027,"Rural","Islands"
8028,"Small_Cities","Islands"
8029,"Small_Cities","Islands"
8030,"Small_Cities","Islands"
8031,"Rural","Islands"
8032,"Rural","Islands"
8033,"Rural","Islands"
8034,"Rural","Islands"
8035,"Rural","Islands"
8036,"Rural","Islands"
8037,"Rural","Islands"
8038,"Rural","Islands"
8039,"Rural","Islands"
8040,"Rural","Islands"
8042,"Rural","Islands"
8043,"Rural","Islands"
8044,"Rural","Islands"
8045,"Rural","Islands"
8046,"Rural","Islands"
8047,"Rural","Islands"
8048,"Rural","Islands"
8049,"Rural","Islands"
8100,"Small_Cities","Islands"
9010,"Small_Cities","Islands"
9011,"Rural","Islands"
9012,"Small_Cities","Islands"
9013,"Small_Cities","Islands"
9014,"Rural","Islands"
9015,"Rural","Islands"
9016,"Small_Cities","Islands"
9017,"Rural","Islands"
9018,"Rural","Islands"
9019,"Rural","Islands"
9020,"Rural","Islands"
9021,"Rural","Islands"
9022,"Rural","Islands"
9023,"Rural","Islands"
9024,"Rural","Islands"
9025,"Rural","Islands"
9026,"Rural","Islands"
9027,"Rural","Islands"
9028,"Small_Cities","Islands"
9029,"Rural","Islands"
9030,"Small_Cities","Islands"
