"","zip","region"
"291",10290,"North China"
"292",10291,"North China"
"293",10292,"North China"
"294",10293,"North China"
"295",10294,"North China"
"296",10295,"North China"
"297",10296,"North China"
"298",10297,"North China"
"299",10298,"North China"
"300",10299,"North China"
"301",10300,"North China"
"302",10301,"North China"
"303",10302,"North China"
"304",10303,"North China"
"305",10304,"North China"
"306",10305,"North China"
"307",10306,"North China"
"308",10307,"North China"
"309",10308,"North China"
"310",10309,"North China"
"311",10310,"North China"
"312",10311,"North China"
"313",10312,"North China"
"314",10313,"North China"
"315",10314,"North China"
"316",10315,"North China"
"317",10316,"North China"
"318",10317,"North China"
"319",10318,"North China"
"320",10319,"North China"
"321",10320,"North China"
"322",10321,"North China"
"323",10322,"North China"
"324",10323,"North China"
"325",10324,"North China"
"326",10325,"North China"
"327",10326,"North China"
"328",10327,"North China"
"329",10328,"North China"
"330",10329,"North China"
"331",10330,"North China"
"332",10331,"North China"
"333",10332,"North China"
"334",10333,"North China"
"335",10334,"North China"
"336",10335,"North China"
"337",10336,"North China"
"338",10337,"North China"
"339",10338,"North China"
"340",10339,"North China"
"341",10340,"North China"
"342",10341,"North China"
"343",10342,"North China"
"344",10343,"North China"
"345",10344,"North China"
"346",10345,"North China"
"347",10346,"North China"
"348",10347,"North China"
"349",10348,"North China"
"350",10349,"North China"
"351",10350,"North China"
"352",10351,"North China"
"353",10352,"North China"
"354",10353,"North China"
"355",10354,"North China"
"356",10355,"North China"
"357",10356,"North China"
"358",10357,"North China"
"359",10358,"North China"
"360",10359,"North China"
"361",10360,"North China"
"362",10361,"North China"
"363",10362,"North China"
"364",10363,"North China"
"365",10364,"North China"
"366",10365,"North China"
"367",10366,"North China"
"368",10367,"North China"
"369",10368,"North China"
"370",10369,"North China"
"371",10370,"North China"
"372",10371,"North China"
"373",10372,"North China"
"374",10373,"North China"
"375",10374,"North China"
"376",10375,"North China"
"377",10376,"North China"
"378",10377,"North China"
"379",10378,"North China"
"380",10379,"North China"
"381",10380,"North China"
"382",10381,"North China"
"383",10382,"North China"
"384",10383,"North China"
"385",10384,"North China"
"386",10385,"North China"
"387",10386,"North China"
"388",10387,"North China"
"389",10388,"North China"
"390",10389,"North China"
"391",10390,"North China"
"392",10391,"North China"
"393",10392,"North China"
"394",10393,"North China"
"395",10394,"North China"
"396",10395,"North China"
"397",10396,"North China"
"398",10397,"North China"
"399",10398,"North China"
"400",10399,"North China"
"401",10400,"North China"
"402",10401,"North China"
"403",10402,"North China"
"404",10403,"North China"
"405",10404,"North China"
"406",10405,"North China"
"407",10406,"North China"
"408",10407,"North China"
"409",10408,"North China"
"410",10409,"North China"
"411",10410,"North China"
"412",10411,"North China"
"413",10412,"North China"
"414",10413,"North China"
"415",10414,"North China"
"416",10415,"North China"
"417",10416,"North China"
"418",10417,"North China"
"419",10418,"North China"
"420",10419,"North China"
"421",10420,"North China"
"422",10421,"North China"
"423",10422,"North China"
"424",10423,"North China"
"425",10424,"North China"
"426",10425,"North China"
"427",10426,"North China"
"428",10427,"North China"
"429",10428,"North China"
"430",10429,"North China"
"431",10430,"North China"
"432",10431,"North China"
"433",10432,"North China"
"434",10433,"North China"
"435",10434,"North China"
"436",10435,"North China"
"437",10436,"North China"
"438",10437,"North China"
"439",10438,"North China"
"440",10439,"North China"
"441",10440,"North China"
"442",10441,"North China"
"443",10442,"North China"
"444",10443,"North China"
"445",10444,"North China"
"446",10445,"North China"
"447",10446,"North China"
"448",10447,"North China"
"449",10448,"North China"
"450",10449,"North China"
"451",10450,"North China"
"452",10451,"North China"
"453",10452,"North China"
"454",10453,"North China"
"455",10454,"North China"
"456",10455,"North China"
"457",10456,"North China"
"458",10457,"North China"
"459",10458,"North China"
"460",10459,"North China"
"461",10460,"North China"
"462",10461,"North China"
"463",10462,"North China"
"464",10463,"North China"
"465",10464,"North China"
"466",10465,"North China"
"467",10466,"North China"
"468",10467,"North China"
"469",10468,"North China"
"470",10469,"North China"
"471",10470,"North China"
"472",10471,"North China"
"473",10472,"North China"
"474",10473,"North China"
"475",10474,"North China"
"476",10475,"North China"
"477",10476,"North China"
"478",10477,"North China"
"479",10478,"North China"
"480",10479,"North China"
"481",10480,"North China"
"482",10481,"North China"
"483",10482,"North China"
"484",10483,"North China"
"485",10484,"North China"
"486",10485,"North China"
"487",10486,"North China"
"488",10487,"North China"
"489",10488,"North China"
"490",10489,"North China"
"491",10490,"North China"
"492",10491,"North China"
"493",10492,"North China"
"494",10493,"North China"
"495",10494,"North China"
"496",10495,"North China"
"497",10496,"North China"
"498",10497,"North China"
"499",10498,"North China"
"500",10499,"North China"
"501",10500,"North China"
"502",10501,"North China"
"503",10502,"North China"
"504",10503,"North China"
"505",10504,"North China"
"506",10505,"North China"
"507",10506,"North China"
"508",10507,"North China"
"509",10508,"North China"
"510",10509,"North China"
"511",10510,"North China"
"512",10511,"North China"
"513",10512,"North China"
"514",10513,"North China"
"515",10514,"North China"
"516",10515,"North China"
"517",10516,"North China"
"518",10517,"North China"
"519",10518,"North China"
"520",10519,"North China"
"521",10520,"North China"
"522",10521,"North China"
"523",10522,"North China"
"524",10523,"North China"
"525",10524,"North China"
"526",10525,"North China"
"527",10526,"North China"
"528",10527,"North China"
"529",10528,"North China"
"530",10529,"North China"
"531",10530,"North China"
"532",10531,"North China"
"533",10532,"North China"
"534",10533,"North China"
"535",10534,"North China"
"536",10535,"North China"
"537",10536,"North China"
"538",10537,"North China"
"539",10538,"North China"
"540",10539,"North China"
"541",10540,"North China"
"542",10541,"North China"
"543",10542,"North China"
"544",10543,"North China"
"545",10544,"North China"
"546",10545,"North China"
"547",10546,"North China"
"548",10547,"North China"
"549",10548,"North China"
"550",10549,"North China"
"551",10550,"North China"
"552",10551,"North China"
"553",10552,"North China"
"554",10553,"North China"
"555",10554,"North China"
"556",10555,"North China"
"557",10556,"North China"
"558",10557,"North China"
"559",10558,"North China"
"560",10559,"North China"
"561",10560,"North China"
"562",10561,"North China"
"563",10562,"North China"
"564",10563,"North China"
"565",10564,"North China"
"566",10565,"North China"
"567",10566,"North China"
"568",10567,"North China"
"569",10568,"North China"
"570",10569,"North China"
"571",10570,"North China"
"572",10571,"North China"
"573",10572,"North China"
"574",10573,"North China"
"575",10574,"North China"
"576",10575,"North China"
"577",10576,"North China"
"578",10577,"North China"
"579",10578,"North China"
"580",10579,"North China"
"581",10580,"North China"
"582",10581,"North China"
"583",10582,"North China"
"584",10583,"North China"
"585",10584,"North China"
"586",10585,"North China"
"587",10586,"North China"
"588",10587,"North China"
"589",10588,"North China"
"590",10589,"North China"
"591",10590,"North China"
"592",10591,"North China"
"593",10592,"North China"
"594",10593,"North China"
"595",10594,"North China"
"596",10595,"North China"
"597",10596,"North China"
"598",10597,"North China"
"599",10598,"North China"
"600",10599,"North China"
"601",10600,"North China"
"602",10601,"North China"
"603",10602,"North China"
"604",10603,"North China"
"605",10604,"North China"
"606",10605,"North China"
"607",10606,"North China"
"608",10607,"North China"
"609",10608,"North China"
"610",10609,"North China"
"611",10610,"North China"
"612",10611,"North China"
"613",10612,"North China"
"614",10613,"North China"
"615",10614,"North China"
"616",10615,"North China"
"617",10616,"North China"
"618",10617,"North China"
"619",10618,"North China"
"620",10619,"North China"
"621",10620,"North China"
"622",10621,"North China"
"623",10622,"North China"
"624",10623,"North China"
"625",10624,"North China"
"626",10625,"North China"
"627",10626,"North China"
"628",10627,"North China"
"629",10628,"North China"
"630",10629,"North China"
"631",10630,"North China"
"632",10631,"North China"
"633",10632,"North China"
"634",10633,"North China"
"635",10634,"North China"
"636",10635,"North China"
"637",10636,"North China"
"638",10637,"North China"
"639",10638,"North China"
"640",10639,"North China"
"641",10640,"North China"
"642",10641,"North China"
"643",10642,"North China"
"644",10643,"North China"
"645",10644,"North China"
"646",10645,"North China"
"647",10646,"North China"
"648",10647,"North China"
"649",10648,"North China"
"650",10649,"North China"
"651",10650,"North China"
"652",10651,"North China"
"653",10652,"North China"
"654",10653,"North China"
"655",10654,"North China"
"656",10655,"North China"
"657",10656,"North China"
"658",10657,"North China"
"659",10658,"North China"
"660",10659,"North China"
"661",10660,"North China"
"662",10661,"North China"
"663",10662,"North China"
"664",10663,"North China"
"665",10664,"North China"
"666",10665,"North China"
"667",10666,"North China"
"668",10667,"North China"
"669",10668,"North China"
"670",10669,"North China"
"671",10670,"North China"
"672",10671,"North China"
"673",10672,"North China"
"674",10673,"North China"
"675",10674,"North China"
"676",10675,"North China"
"677",10676,"North China"
"678",10677,"North China"
"679",10678,"North China"
"680",10679,"North China"
"681",10680,"North China"
"682",10681,"North China"
"683",10682,"North China"
"684",10683,"North China"
"685",10684,"North China"
"686",10685,"North China"
"687",10686,"North China"
"688",10687,"North China"
"689",10688,"North China"
"690",10689,"North China"
"691",10690,"North China"
"692",10691,"North China"
"693",10692,"North China"
"694",10693,"North China"
"695",10694,"North China"
"696",10695,"North China"
"697",10696,"North China"
"698",10697,"North China"
"699",10698,"North China"
"700",10699,"North China"
"701",10700,"North China"
"702",10701,"North China"
"703",10702,"North China"
"704",10703,"North China"
"705",10704,"North China"
"706",10705,"North China"
"707",10706,"North China"
"708",10707,"North China"
"709",10708,"North China"
"710",10709,"North China"
"711",10710,"North China"
"712",10711,"North China"
"713",10712,"North China"
"714",10713,"North China"
"715",10714,"North China"
"716",10715,"North China"
"717",10716,"North China"
"718",10717,"North China"
"719",10718,"North China"
"720",10719,"North China"
"721",10720,"North China"
"722",10721,"North China"
"723",10722,"North China"
"724",10723,"North China"
"725",10724,"North China"
"726",10725,"North China"
"727",10726,"North China"
"728",10727,"North China"
"729",10728,"North China"
"730",10729,"North China"
"731",10730,"North China"
"732",10731,"North China"
"733",10732,"North China"
"734",10733,"North China"
"735",10734,"North China"
